43386	~~bdun gyi sngon gyi smon lam gyi khyad par rgyas pa zhes bya ba'i mdo sde bklag cing de bzhin gshegs pa bdun mchod de smon lam gdab pa'i cho ga mdo sde las btus te rim par bklag pa	10.0	len181;odd2;mixed6
42579	~~la 'ang (bde ba) la phyi ma la rnam par smin pa bde ba	10.0	odd6;mixed11
42574	'das pa dang ma byon pa (ma 'ongs pa) dang ~~	10.0	odd6;mixed8
42512	['thun	10.0	odd6;mixed16
42511	'thun pa'i bzod pa (gsum po) rnon po (rab tu rno ba)	10.0	odd8;mixed15
41462	nad med nyi ma 'di lta [bur	10.0	odd12;mixed23
40970	ston (par) bgyid ba (byed pa)	10.0	odd6;mixed13
40634	ta la'i lo ma ltar ~~ (ltar ma yin pa)	10.0	odd6;mixed10
39536	bsam pa … ~~ (na	10.0	odd6;mixed9
39532	sems bskyed par (skyes par) gyur to … ~~	10.0	odd6;mixed12
38695	nyal po byed pa(r) shom pa'i khyim na gnas pa ('greng pa)	10.0	odd6;mixed15
37911	'jig rten (dag gi) mchog (ma)	10.0	odd6;mixed11
37510	de ~~sems (yang 'dzum pa mdzad do)	10.0	odd6;mixed14
36517	khong du (thugs su) ~~	10.0	odd6;mixed11
33089	rgyan la rtseg (rtsegs) pa (rtse ba)	10.0	odd6;mixed16
32878	(')grogs po (dang) (b)rten pa	10.0	odd6;mixed21
32659	bcad pa dang dbug(s) dang (b)sreg dang gsheg(s) 'gyur gyi(s)	10.0	odd8;mixed28
30381	aa nu tsa ra aa wa lo ki te shva ra	10.0	odd6;mixed8
30375	aa nu tsa rA aaSh Ta ya kShi N+ya:	10.0	odd6;mixed11
30373	aa nu tsa rA aaSh Ta ya kShA:	10.0	odd6;mixed11
30131	(shrI) DA kArNa wa (ma hA yo gi nI tan tra rA dza)	10.0	odd6;mixed13
29933	bya rgod sha la chags pa yis phan tshun kun [tu	10.0	odd8;mixed17
27895	skad cig (ma) gcig (gis) mngon rdzogs byang chub (pa	10.0	odd6;mixed12
27556	ae ka wyU ho (nA ma sa mA dhi:	10.0	odd6;mixed9
27152	aa nu pA lam bha-pre kShi Na:	10.0	odd6;mixed12
26785	~~rnam par ([gzhag	10.0	odd8;mixed23
26754	kun tu rab tu ([mched	10.0	odd6;mixed17
26655	kun (tu) brjod pa'i (rdzu 'phrul gyi) cho 'phrul	10.0	odd6;mixed13
26557	sa man ta-spha ra Na-mu kha-dar sha na	10.0	odd6;mixed19
43371	~~thams cad kyi gsang ba gsang ba'i mdzod chen po mi zad pa gter gyi sgron ma brtul zhugs chen po bsgrub pa'i rgyud ye shes rngam pa glog gi 'khor lo	9.9	len149;odd2;mixed7
58515	mi na bar phyag pa gnyis ka la ~~la chos mi bshad mi na bar phrag pa gnyis gas ~~la chos mi bshad	9.8	len97;odd4;mixed8
49151	(dpyod pa'i ting nge 'dzin sbyang ba'i 'du byed ldan pa'i rdzu 'phrul gyi rkang pa'o) dpyod byed	9.8	len96;odd4;mixed11
51632	~~spyan ras gzigs dbang phyug phyag stong spyan stong dang ldan pa thogs pa mi mnga' ba'i thugs rje chen po'i sems rgya cher yongs su rdzogs pa	9.7	len143;odd2;mixed7
43355	~~thams cad kyi de kho na nyid bsdus pa theg pa chen po mngon par rtogs pa zhes bya ba'i rgyud kyi bshad pa de kho na nyid snang bar byed pa	9.5	len140;odd2;mixed7
40906	(stong phrag brgya pa la sogs pa mdo sde chen po bklags pa'i) chos kyi sbyin pa'i bsngo ba	9.5	len90;odd4;mixed11
43328	~~dgra bcom pa yang dag par rdzogs pa'i sangs rgyas ngan song thams cad yongs su sbyong ba'i gzi brjid kyi rgyal po zhes bya ba'i brtag pa'i bshad pa	9.4	len149;odd2;mixed6
43359	~~thams cad kyi gtsug tor nas byung bagdugs dkar po can zhes bya ba gzhan gyis mi thub ma phyir zlog pa'i rig sngags kyi rgyal mo chen mo	9.3	len137;odd2;mixed7
42567	da ltar gyi dus la ma chags ma thogs pa'i ye shes gzigs par 'jug go (mthong ba 'jug pa)	9.3	len87;odd4;mixed10
60574	de nyid phyir na bcom ldan gyis rgya mtsho cher g-yengs gnya' shing gi bu gar rus sbal mgrin chud ltar mi nyid shin tu thob dkar gsungs	9.2	len135;odd2;mixed7
32557	'gal gzugs 'khri las 'dzugs pa chu la 'dzub (mdzub) mos se gol rdob rkus 'dzugs pa ~~	9.2	len85;odd4;mixed9
43351	~~thams cad kyi thugs gsang ba'i ye shes don gyi snying po khro bo rdo rje'i rigs kun 'dus rig pa'i mdo rnal 'byor grub pa'i rgyud	9.0	len130;odd2;mixed7
43327	~~dgra bcom pa yang dag par rdzogs pa'i sangs rgyas ngan song thams cad yongs su sbyong ba gzi brjid kyi rgyal po'i brtag pa phyogs gcig pa	8.9	len139;odd2;mixed6
