!! zhugs nyid	⟨!!⟩་ཞུགས་ཉིད
!!don du	⟨!!don⟩་དུ
!!lcags sgrog ma	⟨!!lcags⟩་སྒྲོག་མ
!!mdog dbyibs can	⟨!!mdog⟩་དབྱིབས་ཅན
!!mid par byed pa	⟨!!mid⟩་པར་བྱེད་པ
!!ming can	⟨!!ming⟩་ཅན
!!mtshon cha can	⟨!!mtshon⟩་ཆ་ཅན
!!ra bcas	⟨!!ra⟩་བཅས
!!rnam pa can	⟨!!rnam⟩་པ་ཅན
!!snod du gyur	⟨!!snod⟩་དུ་གྱུར
!!theg pa pa	⟨!!theg⟩་པ་པ
'am ci	འམ་ཅི
'bras so ba	འབྲས་སོ་བ
'bras spungs	འབྲས་སྤུངས
'bras tshos	འབྲས་ཚོས
'bras yod	འབྲས་ཡོད
'bras yum	འབྲས་ཡུམ
'bre pa	འབྲེ་པ
'breg mkhan	འབྲེག་མཁན
'breg pa	འབྲེག་པ
'brel ba	འབྲེལ་བ
'brel ba la rnam par rtog pa	འབྲེལ་བ་ལ་རྣམ་པར་རྟོག་པ
'brel ba'i khyim	འབྲེལ་བའི་ཁྱིམ
'brel ba'i sems	འབྲེལ་བའི་སེམས
'brel bar 'byung ba	འབྲེལ་བར་འབྱུང་བ
'brel bar ma yin pa	འབྲེལ་བར་མ་ཡིན་པ
'brel med don	འབྲེལ་མེད་དོན
'brel med du smra ba	འབྲེལ་མེད་དུ་སྨྲ་བ
'brel nas	འབྲེལ་ནས
'brel pa	འབྲེལ་པ
'brel pa med pa	འབྲེལ་པ་མེད་པ
'brel pa nyid	འབྲེལ་པ་ཉིད
'brel to	འབྲེལ་ཏོ
'breng thag	འབྲེང་ཐག
'bres	འབྲེས
'bri ba	འབྲི་བ
'bri hata	འབྲི་ཧཏ
'bri zhing	འབྲི་ཞིང
'bri zhing 'phel ba	འབྲི་ཞིང་འཕེལ་བ
'brid byed	འབྲིད་བྱེད
'brid pa	འབྲིད་པ
'brim par byed	འབྲིམ་པར་བྱེད
'bring gi chung ngu	འབྲིང་གི་ཆུང་ངུ
'bring pa	འབྲིང་པ
'bring po	འབྲིང་པོ
'bring tsam sbom	འབྲིང་ཙམ་སྦོམ
'bring zas	འབྲིང་ཟས
'brir stsal te	འབྲིར་སྩལ་ཏེ
'bro go	འབྲོ་གོ
'brog lhas	འབྲོག་ལྷས
'brog ltas	འབྲོག་ལྟས
'brog pa	འབྲོག་པ
'brom ston	འབྲོམ་སྟོན
'brom ston pa	འབྲོམ་སྟོན་པ
'brong	འབྲོང
'brong zhal can	འབྲོང་ཞལ་ཅན
'bros	འབྲོས
'bros byed	འབྲོས་བྱེད
'bros par	འབྲོས་པར
'bru dkar	འབྲུ་དཀར
'bru dong	འབྲུ་དོང
'bru ma tshigs ma	འབྲུ་མ་ཚིགས་མ
'bru mar	འབྲུ་མར
'bru mar snod	འབྲུ་མར་སྣོད
'bru nas tha dad mi bya 'bru gnas tha dad du mi bya	འབྲུ་ནས་ཐ་དད་མི་བྱ་འབྲུ་གནས་ཐ་དད་དུ་མི་བྱ
'bru phung	འབྲུ་ཕུང
'bru rgod	འབྲུ་རྒོད
'bru rnams skyong	འབྲུ་རྣམས་སྐྱོང
'bru sa	འབྲུ་ས
'bru sar la sogs sde tshan	འབྲུ་སར་ལ་སོགས་སྡེ་ཚན
'bru zas nyams su ma myong ba	འབྲུ་ཟས་ཉམས་སུ་མ་མྱོང་བ
'bru'i chang	འབྲུའི་ཆང
'bru'i phur ma ltar ma yin pa	འབྲུའི་ཕུར་མ་ལྟར་མ་ཡིན་པ
'brud	འབྲུད
'brug dbyangs	འབྲུག་དབྱངས
'brug g-yas	འབྲུག་⟨g-yas⟩
'brug gi sgra dbyangs	འབྲུག་གི་སྒྲ་དབྱངས
'brug gi sgra dbyangs (skad)	འབྲུག་གི་སྒྲ་དབྱངས་⟨(skad)⟩
'brug pa	འབྲུག་པ
'brug sgra sgrogs pa	འབྲུག་སྒྲ་སྒྲོགས་པ
'brul	འབྲུལ
'brum	འབྲུམ
'brum bu 'joms	འབྲུམ་བུ་འཇོམས
'brum bus btab	འབྲུམ་བུས་བཏབ
'brum can	འབྲུམ་ཅན
'brum nad yug ta	འབྲུམ་ནད་ཡུག་ཏ
'brus bu dag tu 'gyur ba	འབྲུས་བུ་དག་ཏུ་འགྱུར་བ
'bu	འབུ
'bu can gyi 'du shes	འབུ་ཅན་གྱི་འདུ་ཤེས
'bu ro dbyung thabs bya	འབུ་རོ་དབྱུང་ཐབས་བྱ
'bu srin	འབུ་སྲིན
'bub pa	འབུབ་པ
'bud	འབུད
'bul	འབུལ
'bul ba	འབུལ་བ
'bul du bcug	འབུལ་དུ་བཅུག
'bum gyi cha dang	འབུམ་གྱི་ཆ་དང
'bum phrag bcu gcig	འབུམ་ཕྲག་བཅུ་གཅིག
'bum phrag dgu bcu rtsa dgu	འབུམ་ཕྲག་དགུ་བཅུ་རྩ་དགུ
'bum phrag gsum dang stong phrag dag ni nyi shu gnyis	འབུམ་ཕྲག་གསུམ་དང་སྟོང་ཕྲག་དག་ནི་ཉི་ཤུ་གཉིས
'bum phrag gsum pa	འབུམ་ཕྲག་གསུམ་པ
'bum phrag zhe lnga	འབུམ་ཕྲག་ཞེ་ལྔ
'bun gtong mkhan	འབུན་གཏོང་མཁན
'bung ba'i blo	འབུང་བའི་བློ
'bungs bod	འབུངས་བོད
'bur ba	འབུར་བ
'bus	འབུས
'bus 'bu ba	འབུས་འབུ་བ
'byam pa	འབྱམ་པ
'byangs	འབྱངས
'byar	འབྱར
'byar ba	འབྱར་བ
'byar bar shog	འབྱར་བར་ཤོག
'byar ma	འབྱར་མ
'bye ba	འབྱེ་བ
'byed dkar 'gyur	འབྱེད་དཀར་འགྱུར
'byed pa	འབྱེད་པ
'byed pa'i thur ma	འབྱེད་པའི་ཐུར་མ
'byed rnam gnyis	འབྱེད་རྣམ་གཉིས
'byed sa sod	འབྱེད་ས་སོད
'byer bar … byed	འབྱེར་བར་བྱེད
'byid	འབྱིད
'byin byed	འབྱིན་བྱེད
'byin pa na	འབྱིན་པ་ན
'byin pa po	འབྱིན་པ་པོ
'byin pa'i cha dpyad	འབྱིན་པའི་ཆ་དཔྱད
'byin par byed	འབྱིན་པར་བྱེད
'byin par mdzad do	འབྱིན་པར་མཛད་དོ
'byin te	འབྱིན་ཏེ
'bying	འབྱིང
'bying ba med par	འབྱིང་བ་མེད་པར
'byol ba	འབྱོལ་བ
'byon	འབྱོན
'byon te ta du la	འབྱོན་ཏེ་ཏ་དུ་ལ
'byong ba	འབྱོང་བ
'byor 'brel	འབྱོར་འབྲེལ
'byor ba	འབྱོར་བ
'byor ba la chags pa	འབྱོར་བ་ལ་ཆགས་པ
'byor ba rgya che	འབྱོར་བ་རྒྱ་ཆེ
'byor bar byed pa'i mthu	འབྱོར་བར་བྱེད་པའི་མཐུ
'byor bar gyur cig	འབྱོར་བར་གྱུར་ཅིག
'byor bzang	འབྱོར་བཟང
'byor dang mthun spyod ye shes	འབྱོར་དང་མཐུན་སྤྱོད་ཡེ་ཤེས
'byor gyur cig	འབྱོར་གྱུར་ཅིག
'byor ldan	འབྱོར་ལྡན
'byor med	འབྱོར་མེད
'byor mngon mtho	འབྱོར་མངོན་མཐོ
'byor pa 'dod	འབྱོར་པ་འདོད
'byor pa can	འབྱོར་པ་ཅན
'byor pa chen po rgya che ba	འབྱོར་པ་ཆེན་པོ་རྒྱ་ཆེ་བ
'byor pa la chags pa	འབྱོར་པ་ལ་ཆགས་པ
'byor pa rgya chen	འབྱོར་པ་རྒྱ་ཆེན
'byor pas	འབྱོར་པས
'byor rab	འབྱོར་རབ
'byor sten byed pa	འབྱོར་སྟེན་བྱེད་པ
'byug pa	འབྱུག་པ
'byugs	འབྱུགས
'byung 'gyur gyi reg bya	འབྱུང་འགྱུར་གྱི་རེག་བྱ
'byung 'gyur zhing	འབྱུང་འགྱུར་ཞིང
'byung 'jug byas pas 'byed pa	འབྱུང་འཇུག་བྱས་པས་འབྱེད་པ
'byung ba 'dus pa	འབྱུང་བ་འདུས་པ
'byung ba che rnams	འབྱུང་བ་ཆེ་རྣམས
'byung ba chen po	འབྱུང་བ་ཆེན་པོ
'byung ba chen po ~~'dug	འབྱུང་བ་ཆེན་པོ་⟨~~'dug⟩
'byung ba dang 'jig pa la sred pa dang bral ba	འབྱུང་བ་དང་འཇིག་པ་ལ་སྲེད་པ་དང་བྲལ་བ
'byung ba lhag ma rnams	འབྱུང་བ་ལྷག་མ་རྣམས
'byung ba ma mchis pa	འབྱུང་བ་མ་མཆིས་པ
'byung ba ma yin pa	འབྱུང་བ་མ་ཡིན་པ
'byung ba yi rnam thar	འབྱུང་བ་ཡི་རྣམ་ཐར
'byung ba'i	འབྱུང་བའི
'byung ba'i byed rgyu	འབྱུང་བའི་བྱེད་རྒྱུ
'byung ba'i de bzhin nyid	འབྱུང་བའི་དེ་བཞིན་ཉིད
'byung ba'i dus	འབྱུང་བའི་དུས
'byung ba'i sgo	འབྱུང་བའི་སྒོ
'byung bar 'gyur	འབྱུང་བར་འགྱུར
'byung bar 'gyur te	འབྱུང་བར་འགྱུར་ཏེ
'byung bar bya	འབྱུང་བར་བྱ
'byung bar byed	འབྱུང་བར་བྱེད
'byung bar mdzad	འབྱུང་བར་མཛད
'byung bo mo	འབྱུང་བོ་མོ
'byung gnas	འབྱུང་གནས
'byung gyur pa	འབྱུང་གྱུར་པ
'byung khungs	འབྱུང་ཁུངས
'byung la	འབྱུང་ལ
'byung ldan	འབྱུང་ལྡན
'byung mi 'gyur	འབྱུང་མི་འགྱུར
'byung po 'ching byed	འབྱུང་པོ་འཆིང་བྱེད
'byung po 'dul ba	འབྱུང་པོ་འདུལ་བ
