!! zhugs nyid	⟨!!⟩་ཞུགས་ཉིད
!!don du	⟨!!don⟩་དུ
!!lcags sgrog ma	⟨!!lcags⟩་སྒྲོག་མ
!!mdog dbyibs can	⟨!!mdog⟩་དབྱིབས་ཅན
!!mid par byed pa	⟨!!mid⟩་པར་བྱེད་པ
!!ming can	⟨!!ming⟩་ཅན
!!mtshon cha can	⟨!!mtshon⟩་ཆ་ཅན
!!ra bcas	⟨!!ra⟩་བཅས
!!rnam pa can	⟨!!rnam⟩་པ་ཅན
!!snod du gyur	⟨!!snod⟩་དུ་གྱུར
!!theg pa pa	⟨!!theg⟩་པ་པ
'am ci	འམ་ཅི
ma gtang ba	མ་གཏང་བ
ma gtogs pa	མ་གཏོགས་པ
ma gtogs par gzhan	མ་གཏོགས་པར་གཞན
ma gtogs te	མ་གཏོགས་ཏེ
ma gur	མ་གུར
ma gus pa	མ་གུས་པ
ma gyur cig	མ་གྱུར་ཅིག
ma gyur to	མ་གྱུར་ཏོ
ma gzhal	མ་གཞལ
ma gzhi	མ་གཞི
ma hA bhA ga	མ་ཧཱ་བྷཱ་ག
ma hA kA ra	མ་ཧཱ་ཀཱ་ར
ma hA maN Da li ka	མ་ཧཱ་མཎ་ཌ་ལི་ཀ
ma hA wyU ho (nA ma sa mA dhi:	མ་ཧཱ་ཝྱཱུ་ཧོ་⟨(nA⟩་མ་ས་མཱ་⟨dhi:⟩
ma ha tI	མ་ཧ་ཏཱི
ma hat	མ་ཧཏ
ma he	མ་ཧེ
ma he 'o ma	མ་ཧེ་འོ་མ
ma he sha	མ་ཧེ་ཤ
ma hi ShI ka	མ་ཧི་ཥཱི་ཀ
ma hokSha	མ་ཧོཀྵ
ma khengs pa	མ་ཁེངས་པ
ma khengs sam mdud	མ་ཁེངས་སམ་མདུད
ma khol	མ་ཁོལ
ma la ti	མ་ལ་ཏི
ma la ya can	མ་ལ་ཡ་ཅན
ma la ya can ma	མ་ལ་ཡ་ཅན་མ
ma la ya yi ri	མ་ལ་ཡ་ཡི་རི
ma la ya'i ri	མ་ལ་ཡའི་རི
ma la yar gnas mo	མ་ལ་ཡར་གནས་མོ
ma lags pa'i grangs su mchi'o	མ་ལགས་པའི་གྲངས་སུ་མཆིའོ
ma lags sam	མ་ལགས་སམ
ma langs min	མ་ལངས་མིན
ma lem	མ་ལེམ
ma lkugs	མ་ལྐུགས
ma log pa	མ་ལོག་པ
ma lon	མ་ལོན
ma lon pa	མ་ལོན་པ
ma lus brnyes par gyur	མ་ལུས་བརྙེས་པར་གྱུར
ma lus min	མ་ལུས་མིན
ma lus pa	མ་ལུས་པ
ma lus pa zad par 'gyur	མ་ལུས་པ་ཟད་པར་འགྱུར
ma lus par spangs pa	མ་ལུས་པར་སྤངས་པ
ma ma'i me tog	མ་མའི་མེ་ཏོག
ma mchis pa	མ་མཆིས་པ
ma mchis pa lags so	མ་མཆིས་པ་ལགས་སོ
ma mchu	མ་མཆུ
ma mdzad pa	མ་མཛད་པ
ma mes grong khyer	མ་མེས་གྲོང་ཁྱེར
ma mkhyen pa	མ་མཁྱེན་པ
ma mngal du 'jug pa	མ་མངལ་དུ་འཇུག་པ
ma mngon par zhen pa (med ?)	མ་མངོན་པར་ཞེན་པ་⟨(med⟩་⟨?)⟩
ma mo	མ་མོ
ma mo 'dzin	མ་མོ་འཛིན
ma mo'i gzhi	མ་མོའི་གཞི
ma mo'i ma	མ་མོའི་མ
ma mos pa	མ་མོས་པ
ma mtha'i mtshams	མ་མཐའི་མཚམས
ma mthong ba	མ་མཐོང་བ
ma mthong bar du	མ་མཐོང་བར་དུ
ma mthong du zin kyang	མ་མཐོང་དུ་ཟིན་ཀྱང
ma mtshon	མ་མཚོན
ma myong ba	མ་མྱོང་བ
ma na ri skyes	མ་ན་རི་སྐྱེས
ma nges	མ་ངེས
ma nges pa gtan tshigs pa ltar snang ba	མ་ངེས་པ་གཏན་ཚིགས་པ་ལྟར་སྣང་བ
ma nges pa'i gtan tshigs	མ་ངེས་པའི་གཏན་ཚིགས
ma nges pa'i rtags	མ་ངེས་པའི་རྟགས
ma ngoms pa	མ་ངོམས་པ
ma ngud pa	མ་ངུད་པ
ma ning phrag dog can	མ་ནིང་ཕྲག་དོག་ཅན
ma ning sbyor ba	མ་ནིང་སྦྱོར་བ
ma nor ba	མ་ནོར་བ
ma nor de bzhin nyid	མ་ནོར་དེ་བཞིན་ཉིད
ma nor lam	མ་ནོར་ལམ
ma nu	མ་ནུ
ma nu sbyin	མ་ནུ་སྦྱིན
ma nu'i bu	མ་ནུའི་བུ
ma nus	མ་ནུས
ma nyams	མ་ཉམས
ma nyams gzugs	མ་ཉམས་གཟུགས
ma nyams pa'i spyod pa	མ་ཉམས་པའི་སྤྱོད་པ
ma pham	མ་ཕམ
ma phebs 'bebs	མ་ཕེབས་འབེབས
ma phebs pa	མ་ཕེབས་པ
ma pho ba	མ་ཕོ་བ
ma phrad pa	མ་ཕྲད་པ
ma phye	མ་ཕྱེ
ma phyin pa	མ་ཕྱིན་པ
ma rI tsi	མ་རཱི་ཙི
ma ra ka ta ltar ljang ba	མ་ར་ཀ་ཏ་ལྟར་ལྗང་བ
ma rabs	མ་རབས
ma rang	མ་རང
ma rdzogs	མ་རྫོགས
ma reg	མ་རེག
ma rgal	མ་རྒལ
ma rgyal ba	མ་རྒྱལ་བ
ma rgyud	མ་རྒྱུད
ma rig las byung	མ་རིག་ལས་བྱུང
ma rig mun bsal sgron ma che	མ་རིག་མུན་བསལ་སྒྲོན་མ་ཆེ
ma rig pa bslad pa ma zhugs	མ་རིག་པ་བསླད་པ་མ་ཞུགས
ma rig pa yi rtsa ba can	མ་རིག་པ་ཡི་རྩ་བ་ཅན
ma rig pas bslad pa	མ་རིག་པས་བསླད་པ
ma rig rgyu ba	མ་རིག་རྒྱུ་བ
ma rig sgo nga'i sbubs 'byed pa	མ་རིག་སྒོ་ངའི་སྦུབས་འབྱེད་པ
ma rigs	མ་རིགས
ma ring	མ་རིང
ma rmongs	མ་རྨོངས
ma rmos 'bru	མ་རྨོས་འབྲུ
ma rmos 'khrungs pa'i lo tog rnam pa dang	མ་རྨོས་འཁྲུངས་པའི་ལོ་ཏོག་རྣམ་པ་དང
ma rnams	མ་རྣམས
ma rnams la rten	མ་རྣམས་ལ་རྟེན
ma rnyed	མ་རྙེད
ma rnyongs	མ་རྙོངས
ma rnyongs pa	མ་རྙོངས་པ
ma rtogs	མ་རྟོགས
ma rtogs par	མ་རྟོགས་པར
ma rul	མ་རུལ
ma rung bar byas pa	མ་རུང་བར་བྱས་པ
ma rung bar byed pa	མ་རུང་བར་བྱེད་པ
ma rung gyur	མ་རུང་གྱུར
ma rungs 'gyur	མ་རུངས་འགྱུར
ma rungs gdug pa	མ་རུངས་གདུག་པ
ma rungs pa	མ་རུངས་པ
ma rungs ri dvags	མ་རུངས་རི་⟨dvags⟩
ma rungs rnam pa	མ་རུངས་རྣམ་པ
ma sbyangs	མ་སྦྱངས
ma sbyangs stong nyid bstan	མ་སྦྱངས་སྟོང་ཉིད་བསྟན
ma sdams pa	མ་སྡམས་པ
ma sha'i 'dab ma	མ་ཤའི་འདབ་མ
ma shes pa	མ་ཤེས་པ
ma shes pas	མ་ཤེས་པས
ma shi	མ་ཤི
ma skor ba	མ་སྐོར་བ
ma skyes	མ་སྐྱེས
ma skyes dgra'i 'gyod pa gsal ba	མ་སྐྱེས་དགྲའི་འགྱོད་པ་གསལ་བ
ma skyes pa'i chos la bzod pa	མ་སྐྱེས་པའི་ཆོས་ལ་བཟོད་པ
ma slangs	མ་སླངས
ma smad smra	མ་སྨད་སྨྲ
ma smas pa	མ་སྨས་པ
ma smin	མ་སྨིན
ma smos pa	མ་སྨོས་པ
ma smras pa	མ་སྨྲས་པ
ma smyos	མ་སྨྱོས
ma snad	མ་སྣད
ma snyom	མ་སྙོམ
ma song	མ་སོང
ma spangs pa	མ་སྤངས་པ
ma tang ga	མ་ཏང་ག
ma tang ga nyams pa	མ་ཏང་ག་ཉམས་པ
ma thag tu byung ba nyid	མ་ཐག་ཏུ་བྱུང་བ་ཉིད
ma them	མ་ཐེམ
ma tho	མ་ཐོ
ma thob pa	མ་ཐོབ་པ
ma thogs myur du	མ་ཐོགས་མྱུར་དུ
ma thogs pa	མ་ཐོགས་པ
ma thu ra	མ་ཐུ་ར
ma tshan ba	མ་ཚན་བ
ma tshang ba	མ་ཚང་བ
ma tshang ba'i byed pa	མ་ཚང་བའི་བྱེད་པ
ma tshang med	མ་ཚང་མེད
ma tshang pa	མ་ཚང་པ
ma tshar bar	མ་ཚར་བར
ma tshogs pa	མ་ཚོགས་པ
ma tshor	མ་ཚོར
ma tu lung+ga ka	མ་ཏུ་ལུངག་ཀ
ma yU kha	མ་ཡཱུ་ཁ
ma yengs pa	མ་ཡེངས་པ
ma yi bdag po	མ་ཡི་བདག་པོ
ma yi thug mtha'	མ་ཡི་ཐུག་མཐའ
ma yin	མ་ཡིན
ma yin dgag gi gzhan sel	མ་ཡིན་དགག་གི་གཞན་སེལ
ma yin du zad mod kyi	མ་ཡིན་དུ་ཟད་མོད་ཀྱི
ma yin no	མ་ཡིན་ནོ
ma yin no zhes zer na	མ་ཡིན་ནོ་ཞེས་ཟེར་ན
ma yin pa	མ་ཡིན་པ
ma yin par dgag pa	མ་ཡིན་པར་དགག་པ
ma yin par gyur pa'i rtag pa	མ་ཡིན་པར་གྱུར་པའི་རྟག་པ
ma yin par thal	མ་ཡིན་པར་ཐལ
ma zhen pa	མ་ཞེན་པ
ma zhi ba	མ་ཞི་བ
ma zhigs pa	མ་ཞིགས་པ
ma zhu ba	མ་ཞུ་བ
ma zhu be snabs	མ་ཞུ་བེ་སྣབས
ma zhu shing 'dra	མ་ཞུ་ཤིང་འདྲ
ma zhu'i gnas zhugs	མ་ཞུའི་གནས་ཞུགས
ma zhu'i nad	མ་ཞུའི་ནད
ma zhu'i rims	མ་ཞུའི་རིམས
ma zhugs	མ་ཞུགས
ma zhum pa	མ་ཞུམ་པ
ma zin pa'i 'byung ba chen po	མ་ཟིན་པའི་འབྱུང་བ་ཆེན་པོ
ma zin pa'i 'byung ba las gyur pa'i sems can du mi ston pa'i sgra mi snyan pa	མ་ཟིན་པའི་འབྱུང་བ་ལས་གྱུར་པའི་སེམས་ཅན་དུ་མི་སྟོན་པའི་སྒྲ་མི་སྙན་པ
ma zin pa'i 'byung ba las gyur pa'i sems can du ston pa'i sgra snyan pa	མ་ཟིན་པའི་འབྱུང་བ་ལས་གྱུར་པའི་སེམས་ཅན་དུ་སྟོན་པའི་སྒྲ་སྙན་པ
ma ~~sa	མ་⟨~~sa⟩
ma … 'am	མ་འམ
ma'ang	མའང
ma'i ma	མའི་མ
maN Da la wi dhi	མཎ་ཌ་ལ་ཝི་དྷི
maNDa na	མཎྜ་ན
madhu	མདྷུ
mag 'thu ba	མག་འཐུ་བ
mag pa	མག་པ
mal	མལ
mal cha	མལ་ཆ
mal du … 'dug nas	མལ་དུ་འདུག་ནས
mal gos	མལ་གོས
mal na	མལ་ན
mal na nyal ba	མལ་ན་ཉལ་བ
mal stan	མལ་སྟན
malli ka'i me tog	མལླི་ཀའི་མེ་ཏོག
mam	མམ
man chad du	མན་ཆད་དུ
man chad nas	མན་ཆད་ནས
man dA ra ba	མན་དཱ་ར་བ
man dal	མན་དལ
man dha ra	མན་དྷ་ར
man dzi	མན་ཛི
man ngag	མན་ངག
man ngag sku'i sgron ma	མན་ངག་སྐུའི་སྒྲོན་མ
man ngag snye ma	མན་ངག་སྙེ་མ
man ngag tu bshad pa	མན་ངག་ཏུ་བཤད་པ
manda	མནྡ
manda ra ba	མནྡ་ར་བ
manda ra'i 'phreng ba	མནྡ་རའི་འཕྲེང་བ
mang 'dzin phrag brgya na glang po'i stobs zhes bya'o	མང་འཛིན་ཕྲག་བརྒྱ་ན་གླང་པོའི་སྟོབས་ཞེས་བྱའོ
mang 'gyed	མང་འགྱེད
mang ba zhig	མང་བ་ཞིག
mang ba'i dpe	མང་བའི་དཔེ
mang bkur ba	མང་བཀུར་བ
mang brjod	མང་བརྗོད
mang byas	མང་བྱས
mang du	མང་དུ
mang du 'thul ba	མང་དུ་འཐུལ་བ
mang du bshad lta ci zhig dgos	མང་དུ་བཤད་ལྟ་ཅི་ཞིག་དགོས
mang du byas pa	མང་དུ་བྱས་པ
mang du thos pa	མང་དུ་ཐོས་པ
mang du thos pa thob par bed pa	མང་དུ་ཐོས་པ་ཐོབ་པར་བེད་པ
mang du yongs 'dris	མང་དུ་ཡོངས་འདྲིས
mang ga lA lo ka tA rA	མང་ག་ལཱ་ལོ་ཀ་ཏཱ་རཱ
mang gur ba	མང་གུར་བ
mang ldan pa	མང་ལྡན་པ
mang lungs gu ru	མང་ལུངས་གུ་རུ
mang po	མང་པོ
mang po pa	མང་པོ་པ
mang po rab tu ster ba	མང་པོ་རབ་ཏུ་སྟེར་བ
mang po rnam pa	མང་པོ་རྣམ་པ
mang po skyong	མང་པོ་སྐྱོང
mang po thos pa	མང་པོ་ཐོས་པ
mang po zhig	མང་པོ་ཞིག
mang po'i lha	མང་པོའི་ལྷ
mang pos	མང་པོས
mang pos bkur ba'i sde pa	མང་པོས་བཀུར་བའི་སྡེ་པ
mang pos ci zhig bya	མང་པོས་ཅི་ཞིག་བྱ
mang thos	མང་ཐོས
mang tshig	མང་ཚིག
mangs mang ba	མངས་མང་བ
mar 'bri ba	མར་འབྲི་བ
mar bcas	མར་བཅས
mar chen	མར་ཆེན
mar gad	མར་གད
mar gshags su gsol	མར་གཤགས་སུ་གསོལ
mar gyi ngo	མར་གྱི་ངོ
mar gyi snying khu	མར་གྱི་སྙིང་ཁུ
mar gyis smin pa	མར་གྱིས་སྨིན་པ
mar khu	མར་ཁུ
mar khu'i rgya mtsho	མར་ཁུའི་རྒྱ་མཚོ
mar la mar gyi snying khu	མར་ལ་མར་གྱི་སྙིང་ཁུ
mar ma zhu	མར་མ་ཞུ
mar me bus so	མར་མེ་བུས་སོ
mar me mdzad	མར་མེ་མཛད
mar me sgrol ma	མར་མེ་སྒྲོལ་མ
mar me'i rdza bo	མར་མེའི་རྫ་བོ
mar me'i spyod tshul	མར་མེའི་སྤྱོད་ཚུལ
mar ngo	མར་ངོ
mar pa	མར་པ
mar ras bal	མར་རས་བལ
mar rnying	མར་རྙིང
marka Ta ka	མརྐ་ཊ་ཀ
mas btang	མས་བཏང
mas btang ba	མས་བཏང་བ
mas btang cho ga	མས་བཏང་ཆོ་ག
mas btang drag	མས་བཏང་དྲག
mas btang reng bu	མས་བཏང་རེང་བུ
mas rten	མས་རྟེན
mchad par bya ba	མཆད་པར་བྱ་བ
mchan bu	མཆན་བུ
mchan khung gi sbyor ba	མཆན་ཁུང་གི་སྦྱོར་བ
mchan khung man chad	མཆན་ཁུང་མན་ཆད
mche	མཆེ
mche ba	མཆེ་བ
mche ba bzang	མཆེ་བ་བཟང
mche ba can	མཆེ་བ་ཅན
mche ba dkar ba	མཆེ་བ་དཀར་བ
mche ba mnyam pa	མཆེ་བ་མཉམ་པ
mche ba rno ba	མཆེ་བ་རྣོ་བ
mche ba stobs dang ldan	མཆེ་བ་སྟོབས་དང་ལྡན
mche ba'i rtse	མཆེ་བའི་རྩེ
mche ba'i sde	མཆེ་བའི་སྡེ
mched pa dmar lam pa'i sems	མཆེད་པ་དམར་ལམ་པའི་སེམས
mched par byed pa	མཆེད་པར་བྱེད་པ
mched par nus	མཆེད་པར་ནུས
mchel	མཆེལ
mchel pa	མཆེལ་པ
mcher ched ba	མཆེར་ཆེད་བ
mcher pa che	མཆེར་པ་ཆེ
mchi 'tshal ba	མཆི་འཚལ་བ
mchi ba'i bar du	མཆི་བའི་བར་དུ
mchi bar 'gyur ba	མཆི་བར་འགྱུར་བ
mchi bar bgyid	མཆི་བར་བགྱིད
mchi ma	མཆི་མ
mchi ma dang bcas	མཆི་མ་དང་བཅས
mchi ma dang bcas par shing	མཆི་མ་དང་བཅས་པར་ཤིང
mchi ma dang par	མཆི་མ་དང་པར
mchi ma mang po babs las	མཆི་མ་མང་པོ་བབས་ལས
mchi ma yi chu	མཆི་མ་ཡི་ཆུ
mchi ma zag bzhin	མཆི་མ་ཟག་བཞིན
mchi ma ~~	མཆི་མ་⟨~~⟩
mchi ma'i chu	མཆི་མའི་ཆུ
mchi ma'i gdong gyis	མཆི་མའི་གདོང་གྱིས
mchi ma'i rgyun ldan	མཆི་མའི་རྒྱུན་ལྡན
mchi ma'i thigs pa	མཆི་མའི་ཐིགས་པ
mchi mar bcas pa	མཆི་མར་བཅས་པ
mchi mas brnangs	མཆི་མས་བརྣངས
mchi mas brnangs te 'khod do ('dug go)	མཆི་མས་བརྣངས་ཏེ་འཁོད་དོ་⟨('dug⟩་⟨go)⟩
mchig gu	མཆིག་གུ
mchil 'dor	མཆིལ་འདོར
mchil ma dor	མཆིལ་མ་དོར
mchil ma mang ba	མཆིལ་མ་མང་བ
mchil ma'i snod	མཆིལ་མའི་སྣོད
mchil ma'i thal ba	མཆིལ་མའི་ཐལ་བ
mchil pa	མཆིལ་པ
mchil pa mo	མཆིལ་པ་མོ
mchims nam mkha' grags	མཆིམས་ནམ་མཁའ་གྲགས
mchin	མཆིན
mchin bu	མཆིན་བུ
mching bu dum bu	མཆིང་བུ་དུམ་བུ
mchis nas	མཆིས་ནས
mchis nyal	མཆིས་ཉལ
mchis pa ma lags pa	མཆིས་པ་མ་ལགས་པ
mchis par 'gyur	མཆིས་པར་འགྱུར
mchis par bgyi'o	མཆིས་པར་བགྱིའོ
mchod	མཆོད
mchod 'gro	མཆོད་འགྲོ
mchod 'os mchog tu gyur	མཆོད་འོས་མཆོག་ཏུ་གྱུར
mchod (pa bya ba)	མཆོད་⟨(pa⟩་བྱ་⟨ba)⟩
mchod bde ba	མཆོད་བདེ་བ
mchod bya mchod 'os pa	མཆོད་བྱ་མཆོད་འོས་པ
mchod bya nyid du gyur	མཆོད་བྱ་ཉིད་དུ་གྱུར
mchod byar gyur	མཆོད་བྱར་གྱུར
mchod byas	མཆོད་བྱས
mchod byed	མཆོད་བྱེད
mchod byed pa	མཆོད་བྱེད་པ
mchod dang ldan pa	མཆོད་དང་ལྡན་པ
mchod gnas	མཆོད་གནས
mchod gnas mchog	མཆོད་གནས་མཆོག
mchod grags	མཆོད་གྲགས
mchod mchog	མཆོད་མཆོག
mchod mdzad pa	མཆོད་མཛད་པ
mchod nyid	མཆོད་ཉིད
mchod pa bgyid	མཆོད་པ་བགྱིད
mchod pa byas	མཆོད་པ་བྱས
mchod pa byed	མཆོད་པ་བྱེད
mchod pa byed pa	མཆོད་པ་བྱེད་པ
mchod pa byed par shog	མཆོད་པ་བྱེད་པར་ཤོག
mchod pa chen po 'dod chags che	མཆོད་པ་ཆེན་པོ་འདོད་ཆགས་ཆེ
mchod pa chen po khro ba che	མཆོད་པ་ཆེན་པོ་ཁྲོ་བ་ཆེ
mchod pa la brten pa	མཆོད་པ་ལ་བརྟེན་པ
mchod pa la chags	མཆོད་པ་ལ་ཆགས
mchod pa la sogs pa rnyed	མཆོད་པ་ལ་སོགས་པ་རྙེད
mchod pa rab tu yang brnyes so	མཆོད་པ་རབ་ཏུ་ཡང་བརྙེས་སོ
mchod pa rnams	མཆོད་པ་རྣམས
mchod pa thams cad kyi cho ga rgyas pa'i snod	མཆོད་པ་ཐམས་ཅད་ཀྱི་ཆོ་ག་རྒྱས་པའི་སྣོད
mchod pa … brgya stong bsam gyis mi khyab pa phrag du ma	མཆོད་པ་བརྒྱ་སྟོང་བསམ་གྱིས་མི་ཁྱབ་པ་ཕྲག་དུ་མ
mchod pa'i 'os	མཆོད་པའི་འོས
mchod pa'i nor gzhan bdag la cang ma mchis	མཆོད་པའི་ནོར་གཞན་བདག་ལ་ཅང་མ་མཆིས
mchod pa'i rdzas	མཆོད་པའི་རྫས
mchod pa'i sprin	མཆོད་པའི་སྤྲིན
mchod pa'i yo byad	མཆོད་པའི་ཡོ་བྱད
mchod par 'gyur	མཆོད་པར་འགྱུར
mchod par 'gyur ba	མཆོད་པར་འགྱུར་བ
mchod par 'os	མཆོད་པར་འོས
mchod par 'os pas mchod pa	མཆོད་པར་འོས་པས་མཆོད་པ
mchod par bgyi	མཆོད་པར་བགྱི
mchod par brjod pa'i yul	མཆོད་པར་བརྗོད་པའི་ཡུལ
mchod par byas	མཆོད་པར་བྱས
mchod phyir thogs	མཆོད་ཕྱིར་ཐོགས
mchod rdzas	མཆོད་རྫས
mchod rten bsgrub pa'i cho ga mdor bsdus pa	མཆོད་རྟེན་བསྒྲུབ་པའི་ཆོ་ག་མདོར་བསྡུས་པ
mchod rten gcig gdab pa'i cho ga	མཆོད་རྟེན་གཅིག་གདབ་པའི་ཆོ་ག
mchod rten gdab pa shi ba'i sdig pa byang bar byed pa rang byung 'jigs bral	མཆོད་རྟེན་གདབ་པ་ཤི་བའི་སྡིག་པ་བྱང་བར་བྱེད་པ་རང་བྱུང་འཇིགས་བྲལ
mchod rten gsum gdab pa'i cho ga	མཆོད་རྟེན་གསུམ་གདབ་པའི་ཆོ་ག
mchod rten gyi 'khor sa	མཆོད་རྟེན་གྱི་འཁོར་ས
mchod rten gyi cho ga	མཆོད་རྟེན་གྱི་ཆོ་ག
mchod rten phyag byed	མཆོད་རྟེན་ཕྱག་བྱེད
mchod rten ri	མཆོད་རྟེན་རི
mchod rten sgrub pa'i cho ga	མཆོད་རྟེན་སྒྲུབ་པའི་ཆོ་ག
mchod sbyin 'bras	མཆོད་སྦྱིན་འབྲས
mchod sbyin 'dod	མཆོད་སྦྱིན་འདོད
mchod sbyin 'khor lor … byed pa	མཆོད་སྦྱིན་འཁོར་ལོར་བྱེད་པ
mchod sbyin bal ka	མཆོད་སྦྱིན་བལ་ཀ
mchod sbyin bgegs	མཆོད་སྦྱིན་བགེགས
mchod sbyin byed pa	མཆོད་སྦྱིན་བྱེད་པ
mchod sbyin byug	མཆོད་སྦྱིན་བྱུག
mchod sbyin bzang po	མཆོད་སྦྱིན་བཟང་པོ
mchod sbyin can	མཆོད་སྦྱིན་ཅན
mchod sbyin gyi dus	མཆོད་སྦྱིན་གྱི་དུས
mchod sbyin las	མཆོད་སྦྱིན་ལས
mchod sbyin lhag	མཆོད་སྦྱིན་ལྷག
mchod sbyin pa	མཆོད་སྦྱིན་པ
mchod sbyin rta	མཆོད་སྦྱིན་རྟ
mchod sbyin zas	མཆོད་སྦྱིན་ཟས
mchod sdong	མཆོད་སྡོང
mchod sdong shing	མཆོད་སྡོང་ཤིང
mchod ston rab tu bzhes pa	མཆོད་སྟོན་རབ་ཏུ་བཞེས་པ
mchod yon	མཆོད་ཡོན
mchod yon bsten pa	མཆོད་ཡོན་བསྟེན་པ
mchog 'dod	མཆོག་འདོད
mchog 'phags	མཆོག་འཕགས
mchog bdag	མཆོག་བདག
mchog dang po	མཆོག་དང་པོ
mchog dang po dam pa	མཆོག་དང་པོ་དམ་པ
mchog dga' grags pa	མཆོག་དགའ་གྲགས་པ
mchog dman	མཆོག་དམན
mchog gi 'byor pa	མཆོག་གི་འབྱོར་པ
mchog gi 'phyang 'phrul	མཆོག་གི་འཕྱང་འཕྲུལ
mchog gi bdud rtsi	མཆོག་གི་བདུད་རྩི
mchog gi bza' ba	མཆོག་གི་བཟའ་བ
mchog gi chos	མཆོག་གི་ཆོས
mchog gi dang po	མཆོག་གི་དང་པོ
mchog gi dngos grub rnam pa gsum	མཆོག་གི་དངོས་གྲུབ་རྣམ་པ་གསུམ
mchog gi don	མཆོག་གི་དོན
mchog gi kha zas 'os pa	མཆོག་གི་ཁ་ཟས་འོས་པ
mchog gi kun dga' ra ba	མཆོག་གི་ཀུན་དགའ་ར་བ
mchog gi las	མཆོག་གི་ལས
mchog gi mtshan nyid	མཆོག་གི་མཚན་ཉིད
mchog gi rab	མཆོག་གི་རབ
mchog gi sgrol ma ral pa gcig pa'i man ngag gi sgrub thabs	མཆོག་གི་སྒྲོལ་མ་རལ་པ་གཅིག་པའི་མན་ངག་གི་སྒྲུབ་ཐབས
mchog gi shing	མཆོག་གི་ཤིང
mchog gi snang ba	མཆོག་གི་སྣང་བ
mchog gi sprul sku	མཆོག་གི་སྤྲུལ་སྐུ
mchog gis	མཆོག་གིས
mchog gis brtsom pa	མཆོག་གིས་བརྩོམ་པ
mchog gyur khyad par dag pa	མཆོག་གྱུར་ཁྱད་པར་དག་པ
mchog gyur lus	མཆོག་གྱུར་ལུས
mchog la	མཆོག་ལ
mchog ma	མཆོག་མ
mchog min bde ba	མཆོག་མིན་བདེ་བ
mchog nyid	མཆོག་ཉིད
mchog nyid gyur	མཆོག་ཉིད་གྱུར
mchog rab rgyas	མཆོག་རབ་རྒྱས
mchog rtogs	མཆོག་རྟོགས
mchog sbyin	མཆོག་སྦྱིན
mchog skyong	མཆོག་སྐྱོང
mchog srid	མཆོག་སྲིད
mchog stsol ba'i sgrol ma	མཆོག་སྩོལ་བའི་སྒྲོལ་མ
mchog thob pa'i rig sngags	མཆོག་ཐོབ་པའི་རིག་སྔགས
mchog tu 'dzin par byed	མཆོག་ཏུ་འཛིན་པར་བྱེད
mchog tu 'phel	མཆོག་ཏུ་འཕེལ
mchog tu bkrabs	མཆོག་ཏུ་བཀྲབས
mchog tu bsdu ba	མཆོག་ཏུ་བསྡུ་བ
mchog tu bskul	མཆོག་ཏུ་བསྐུལ
mchog tu byung ba	མཆོག་ཏུ་བྱུང་བ
mchog tu bzang	མཆོག་ཏུ་བཟང
mchog tu dga'	མཆོག་ཏུ་དགའ
mchog tu dga' ba	མཆོག་ཏུ་དགའ་བ
mchog tu dga' ba'i sngon du 'gro ba'i chos dgu'i ming la	མཆོག་ཏུ་དགའ་བའི་སྔོན་དུ་འགྲོ་བའི་ཆོས་དགུའི་མིང་ལ
mchog tu gdung	མཆོག་ཏུ་གདུང
mchog tu grub pa	མཆོག་ཏུ་གྲུབ་པ
mchog tu mdzes	མཆོག་ཏུ་མཛེས
mchog tu mi 'dzin pa	མཆོག་ཏུ་མི་འཛིན་པ
mchog tu mi bzad pa	མཆོག་ཏུ་མི་བཟད་པ
mchog tu nges par	མཆོག་ཏུ་ངེས་པར
mchog tu nyen cing	མཆོག་ཏུ་ཉེན་ཅིང
mchog tu rmad du byung ba	མཆོག་ཏུ་རྨད་དུ་བྱུང་བ
mchog tu rtogs par dka' ba	མཆོག་ཏུ་རྟོགས་པར་དཀའ་བ
mchog tu shes par byed	མཆོག་ཏུ་ཤེས་པར་བྱེད
mchog tu tsha ba'i dpa' bo	མཆོག་ཏུ་ཚ་བའི་དཔའ་བོ
mchog tu ya mtshan skyes te	མཆོག་ཏུ་ཡ་མཚན་སྐྱེས་ཏེ
mchog tu yid du 'thad pa	མཆོག་ཏུ་ཡིད་དུ་འཐད་པ
mchog yas	མཆོག་ཡས
mchog ~~	མཆོག་⟨~~⟩
mchong	མཆོང
mchong 'gro	མཆོང་འགྲོ
mchong ba	མཆོང་བ
mchong byed	མཆོང་བྱེད
mchongs shig	མཆོངས་ཤིག
mchu	མཆུ
mchu 'dab mdzes pa	མཆུ་འདབ་མཛེས་པ
mchu gnyis dang ni rkan tshogs	མཆུ་གཉིས་དང་ནི་རྐན་ཚོགས
mchu las skyes	མཆུ་ལས་སྐྱེས
mchu mdzes dmar ba	མཆུ་མཛེས་དམར་བ
mchu med	མཆུ་མེད
mchu med pa	མཆུ་མེད་པ
mchu nyams	མཆུ་ཉམས
mchu rnon	མཆུ་རྣོན
mchu sgros dmar	མཆུ་སྒྲོས་དམར
mchu yi 'dab	མཆུ་ཡི་འདབ
mchu yi yal 'dab	མཆུ་ཡི་ཡལ་འདབ
mchungs pa	མཆུངས་པ
mda' 'dzin pa	མདའ་འཛིན་པ
