# pyewts.toWylie reference fixtures (OpenPecha/pyewts master, Apache-2.0)
# inputs: hgm_dictionary_v27_2 tibetan column + strided 84000 TM native unicode
ཀ	ka
དྲི་ཟ་མ་ཡིན་པའི་ཚིག	dri za ma yin pa'i tshig
དྲི་ཟའི་གདོན	dri za'i gdon
དྲི་ཟའི་གདོན་ལས་ཐར་བར་བྱེད་པའི་མན་ངག	dri za'i gdon las thar bar byed pa'i man ngag
དྲི་ཟའི་དབང་པོའི་མིང་ལ	dri za'i dbang po'i ming la
དྲི་ཟའི་ཚིག	dri za'i tshig
དྲི་བཟང	dri bzang
དྲི་བཟང་ཁང་པ	dri bzang khang pa
དྲི་རབ་བསྒོས་པ	dri rab bsgos pa
དྲི་རབ་ཏུ་ཞིམ་པ	dri rab tu zhim pa
དྲི་ལ་དགའ	dri la dga'
དྲི་བཤུལ་བ་མེད་པ	dri bshul ba med pa
དྲི་བསུང	dri bsung
དྲིང་ཆེན་⟨(che)⟩་བའི་བཙུན་པ	dring chen [⟨(che)⟩] ba'i btsun pa
དྲིང་མི་འཇོག་པ	dring mi 'jog pa
དྲིང་⟨(la)⟩་མི་འཇོག་པ	dring [⟨(la)⟩] mi 'jog pa
དྲིན་བྱིན	drin byin
དྲིན་ལན་ལོན་པ	drin lan lon pa
དྲིའི་གླང་པོའི་སྟོབས	dri'i glang po'i stobs
དྲིའི་སྒྲོལ་མ	dri'i sgrol ma
དྲིའི་རྣམ་པར་ཤེས་པའི་ཁམས	dri'i rnam par shes pa'i khams
དྲིར་བཅས	drir bcas
དྲིལ་འདྲིལ་བ	dril 'dril ba
དྲིལ་སྒྲོག་པ་བྱེད་དུ་བཅུག་གོ	dril sgrog pa byed du bcug go
དྲིལ་ཆུང	dril chung
དྲིལ་ཏེ	dril te
ལག་པ་གཉིས་ཡོངས་སུ་⟨~~⟩	lag pa gnyis yongs su [⟨~~⟩]
དྲིལ་བ	dril ba
དྲིལ་བུ་པ	dril bu pa
དྲིལ་བུ་མ	dril bu ma
དྲིལ་བུ་⟨g-yer⟩་ཁའྡྲ་བ་⟨(')khrol⟩་བ	dril bu [⟨g-yer⟩] kha'+d+ra ba [⟨(')khrol⟩] ba
དྲིལ་བུ་རིམ་ལྔ	dril bu rim lnga
དྲིས་འདྲི་བ	dris 'dri ba
དྲིས་ཏེ	dris te
དྲིས་ཏེ་ལན་གདབ་པ	dris te lan gdab pa
དྲིས་ན་ལུང་བསྟན་པ	dris na lung bstan pa
དྲིས་པ་གཏན་ལ་ཕབ	dris pa gtan la phab
དྲིས་པའི་གཏན་ལ་དབབ་པ	dris pa'i gtan la dbab pa
དྲིས་པའི་ཐོ	dris pa'i tho
དྲིས་མ	dris ma
དྲུ་གུ་འཛིངས་པ་ལྟ་བུ	dru gu 'dzings pa lta bu
དྲུག་ཅུ་པ	drug cu pa
དྲུག་ཅུ་རྩ་དགུ	drug cu rtsa dgu
དྲུག་ཅུ་རྩ་བརྒྱད	drug cu rtsa brgyad
སྟོང་ཕྲག་⟨~~(po)⟩	stong phrag [⟨~~(po)⟩]
དྲུག་ཅུ་རྩ་ལྔ	drug cu rtsa lnga
དྲུག་ཅུ་རྩ་གཅིག	drug cu rtsa gcig
དྲུག་ཅུ་རྩ་གཉིས	drug cu rtsa gnyis
དྲུག་ཅུ་རྩ་དྲུག	drug cu rtsa drug
དྲུག་ཅུ་རྩ་བདུན	drug cu rtsa bdun
དྲུག་ཅུ་རྩ་བཞི	drug cu rtsa bzhi
དྲུག་ཅུ་རྩ་གསུམ	drug cu rtsa gsum
དྲུག་ཅུ་རེ་གཅིག	drug cu re gcig
དྲུག་བཅུ	drug bcu
དྲུག་དུ་དབྱེ	drug du dbye
དྲུག་ལྡན	drug ldan
དྲུག་ལྡན་མ	drug ldan ma
དྲུག་སྡེ	drug sde
དྲུག་ཤུལ་འོད་ཟེར	drug shul 'od zer
ཆུང་མ་དག་ཀྱང་བུ་བྱུང་ན་ཤིང་དྲུང་དགོན་པར་བབ་བབ་འབྱུང	chung ma dag kyang bu byung na shing drung dgon par bab bab 'byung
⟨g-yung⟩་དྲུང	[⟨g-yung⟩] drung
རིན་ཆེན་ཤིང་དབང་དྲུང	rin chen shing dbang drung
རྫིང་བུའི་⟨~~⟩	rdzing bu'i [⟨~~⟩]
ལན་ཀན་དག་གི་⟨~~⟩	lan kan dag gi [⟨~~⟩]
དྲུང་དུ་མཆི	drung du mchi
དྲུང་དུ་གཤེགས་ནས	drung du gshegs nas
དྲུང་བསྡད	drung bsdad
རིན་ཆེན་ཤིང་⟨~~⟩	rin chen shing [⟨~~⟩]
དྲུང་ན་འཁོད་པ	drung na 'khod pa
དྲུང་ན་འདུག	drung na 'dug
དྲུང་ན་འདུག་པ། དྲུང་དུ་འདུག་པ	drung na 'dug pa/_drung du 'dug pa
དྲུང་ན་པོ	drung na po
དྲུང་ནས	drung nas
ཀཱ་ཏྱཱཡ་ན་ཆེན་པོའི་⟨~~chos⟩་མཉན་ཏེ	kA t+yAya na chen po'i [⟨~~chos⟩] mnyan te
དྲུང་ནས་འབྱིན	drung nas 'byin
དྲུང་པོ	drung po
དྲུང་དབྱུང་བ	drung dbyung ba
དྲུང་མོ	drung mo
དྲུང་ཡིག	drung yig
དྲུང་ཡིག་པ	drung yig pa
དྲུངས	drungs
དེའི་མགོ་དྲུངས་ནས་བཅད་ནས	de'i mgo drungs nas bcad nas
དྲུངས་ནས་ཕྱུང	drungs nas phyung
དྲུངས་པ	drungs pa
དྲུངས་ཕྱུང	drungs phyung
དྲུད	drud
⟨drub(s)⟩་འདྲབ་པ	[⟨drub(s)⟩] 'drab pa
དྲུལ་འདྲུལ་བ	drul 'drul ba
དྲུས་འདྲུ་བ	drus 'dru ba
དྲེག	dreg
དྲེག་ལྡན	dreg ldan
དྲེག་པ	dreg pa
དྲེགས་པ་སྐྱེ་བ	dregs pa skye ba
དྲེགས་པ་སྤངས་⟨(pa)⟩	dregs pa spangs [⟨(pa)⟩]
དྲེགས་སྤངས	dregs spangs
དྲེད་མོ	dred mo
དྲེའུ	dre'u
དྲེའུ་མོ	dre'u mo
དྲོ་བ་རྣོན་པོ	dro ba rnon po
དྲོ་བ་མེད	dro ba med
དྲོ་བ་གཤེར་སྲ་དང་⟨g-yo⟩་བ	dro ba gsher sra dang [⟨g-yo⟩] ba
དྲོ་བར་གྱུར་ཏེ	dro bar gyur te
དྲོངས་འདྲེན་པ	drongs 'dren pa
ཕོ་བའི་དྲོད་སྙོམས་ཤིང་འཇུ་བར་བྱེད་པ་དང་ལྡན་པ	pho ba'i drod snyoms shing 'ju bar byed pa dang ldan pa
དྲོད་ཀྱི་ཡེ་ཤེས	drod kyi ye shes
དྲོད་ཅན	drod can
དྲོད་འོངས	drod 'ongs
དྲོད་ཡལ་བ	drod yal ba
དྲོད་རིག་པ	drod rig pa
དྲོན་མོ	dron mo
དྲོན་ཞོ	dron zho
དྲོས་པ་དྲོ་བ	dros pa dro ba
དྷ་ཏུར་ཟོས	d+ha tur zos
དྷ་ནུ་ཀེ་ཏ་ཀཱི	d+ha nu ke ta kI
དྷ་ནུ་སྐརི	d+ha nu skari
དྷརྨ་ཏ་ལ	d+harma ta la
དག་བསྙེན་⟨~~⟩	dag bsnyen [⟨~~⟩]
དྷརྨ་ཤྲཱི་བྷ་དྲ	d+harma shrI b+ha dra
དྷརྨ་ཨའ་ལོ་ཀ	d+harma a' lo ka
དྷི་དྷི་ཀ	d+hi d+hi ka
གདག	gdag
སྐབས་གཞན་དུ་འབའ་ཞིགའ་གདག	skabs gzhan du 'ba' zhiga' gdag
གདགས་འདོགས་པ	gdags 'dogs pa
གདགས་པ་མེད་པའི་ཚིག	gdags pa med pa'i tshig
གདགས་པའི་གཙུག་ལག་བསྟན་བཅོས	gdags pa'i gtsug lag bstan bcos
གདགས་པར་སླའི	gdags par sla'i
གདང	gdang
གདང་བུ	gdang bu
གདང་བཞིའི་འགྲེལ་པ	gdang bzhi'i 'grel pa
གདངས་ཅན	gdangs can
གདངས་སྙན་⟨(pa)⟩	gdangs snyan [⟨(pa)⟩]
གདངས་ནས	gdangs nas
ཁ་⟨~~⟩	kha [⟨~~⟩]
གདངས་པ	gdangs pa
གདན་བཏིང	gdan bting
གདན་ཐིང་ཤིག	gdan thing shig
གདན་པ	gdan pa
གདན་བཞི	gdan bzhi
གདན་བཞི་པའི་རྣམ་པར་བཤད་པ	gdan bzhi pa'i rnam par bshad pa
གདན་བཞི་པའི་རྣམ་པར་བཤད་པའི་རྒྱུད་ཀྱི་རྒྱལ་པོ	gdan bzhi pa'i rnam par bshad pa'i rgyud kyi rgyal po
གདན་བཞི་པའི་བཤད་པའི་རྒྱུད་ཀྱི་རྒྱལ་པོ་སྔགས་ཀྱི་ཆ	gdan bzhi pa'i bshad pa'i rgyud kyi rgyal po sngags kyi cha
གདན་བཞིའི་དེ་ཁོ་ན་ཉིད་བཞི་པ	gdan bzhi'i de kho na nyid bzhi pa
གདན་ལ་འབེབས་པ	gdan la 'bebs pa
གདན་ལ་གཤེགས་པ	gdan la gshegs pa
གདབ་འདེབས་པ	gdab 'debs pa
གདབ་པ	gdab pa
གདབ་པར་བགྱི	gdab par bgyi
གདབ་པས་⟨(yas)⟩	gdab pas [⟨(yas)⟩]
གདབ་ཡས	gdab yas
གདམ་པ	gdam pa
གདམས་ངག་གི་ཁྱད་པར	gdams ngag gi khyad par
གདམས་ངག་གི་ཁྱད་པར་ཇི་ལྟ་བ་བཞིན་དུ་མདུད་པ་བྱས	gdams ngag gi khyad par ji lta ba bzhin du mdud pa byas
གདམས་ངག་གི་ཁྱད་པར་ཡི་གེ་དྲུག་པའི་སྒྲུབ་ཐབས་འགའ་ཞིག	gdams ngag gi khyad par yi ge drug pa'i sgrub thabs 'ga' zhig
གདམས་ངག་ཉེ་བར་བསྡུས་པ	gdams ngag nye bar bsdus pa
གདམས་ངག་དང་རྗེས་སུ་བསྟན་པ	gdams ngag dang rjes su bstan pa
གདམས་ངག་འདོམས་པ	gdams ngag 'doms pa
གདམས་ངག་གཞན་གྱི་ལྷ་ལྔ་ལེགས་པར་བསྟེན་པར་བྱ་བ	gdams ngag gzhan gyi lha lnga legs par bsten par bya ba
གདམས་པ་སྨྲ་བ	gdams pa smra ba
གདམས་པར་སྨྲ་བ	gdams par smra ba
གདའ	gda'
གདའ་བ	gda' ba
ལུས་མི་⟨~~ra⟩	lus mi [⟨~~ra⟩]
གདའ་བར་བགྱིས་ཏེ	gda' bar bgyis te
ལུས་བལྟར་མི་⟨~~⟩	lus bltar mi [⟨~~⟩]
ལུས་མི་⟨~~⟩	lus mi [⟨~~⟩]
གདའ་བར་འགྱུར	gda' bar 'gyur
གདའ་བས་ཅེས་⟨~~⟩	gda' bas ces [⟨~~⟩]
གདིང་འདིང་བ	gding 'ding ba
གདིང་བ	gding ba
གདིང་བ་ལས་གྱུར་པ	gding ba las gyur pa
གདིང་བར་བགྱི་སྟེ	gding bar bgyi ste
བདག་གི་སྟན་རབ་ཏུ་དམའ་བ་⟨~~⟩	bdag gi stan rab tu dma' ba [⟨~~⟩]
གདིང་བར་བྱ	gding bar bya
སྟན་གཙང་མ་⟨~~'o⟩	stan gtsang ma [⟨~~'o⟩]
གདུ་གུ	gdu gu
གདུ་བ	gdu ba
གདུ་བུ	gdu bu
གདུག་པའི་བདག་ཉིད	gdug pa'i bdag nyid
གདུག་པོ	gdug po
གདུག་སྤོས	gdug spos
གདུག་སྤོས་ཀྱིས་གདུགས་པ	gdug spos kyis gdugs pa
གདུགས་ཀྱི་གུད	gdugs kyi gud
གདུགས་ཀྱིས་གདུངས	gdugs kyis gdungs
གདུགས་དཀར	gdugs dkar
འཕགས་མ་གདུགས་དཀར་⟨(po⟩་⟨can)⟩	'phags ma gdugs dkar [⟨(po⟩] [⟨can)⟩]
གདུགས་དཀར་མོ	gdugs dkar mo
གདུགས་མཆོག	gdugs mchog
གདུགས་ཐོགས་པ	gdugs thogs pa
གདུགས་དང་རྒྱལ་མཚན་དང་བ་དན་བསྒྲེང་བ	gdugs dang rgyal mtshan dang ba dan bsgreng ba
གདུགས་དང་འདྲ་བ་ལགས	gdugs dang 'dra ba lags
གདུགས་པ	gdugs pa
གདུགས་མ	gdugs ma
གདུགས་མཚན	gdugs mtshan
གདུགས་མཛེས	gdugs mdzes
གདུགས་མཛེས་པ་བདག	gdugs mdzes pa bdag
གདུགས་ལ་སོགས་པ་རབ་ཏུ་གནས་པ་དང་རྙིང་པ་འབྱོན་པའི་ཆོ་ག	gdugs la sogs pa rab tu gnas pa dang rnying pa 'byon pa'i cho ga
གདུང་ཁང	gdung khang
གདུང་འགྱུར་བ	gdung 'gyur ba
གདུང་འགྱུར་ཞིང	gdung 'gyur zhing
གདུང་ལྡན	gdung ldan
གདུང་གནས	gdung gnas
ཉོན་མོངས་⟨~~⟩	nyon mongs [⟨~~⟩]
གདུང་བ་མེད་པར་འགྱུར	gdung ba med par 'gyur
གདུང་བའི་ཉེན	gdung ba'i nyen
གདུང་བར་བགྱིད་ཅིང	gdung bar bgyid cing
གདུང་བར་བྱེད	gdung bar byed
གདུང་བྱེད	gdung byed
གདུང་བྱེད་མ	gdung byed ma
གདུང་མ	gdung ma
གདུང་འཛིན་པའི་སྲས	gdung 'dzin pa'i sras
གདུང་བསྲེག་པའི་ཆོ་ག	gdung bsreg pa'i cho ga
གདུངས་གདུང་བ	gdungs gdung ba
གདུངས་ནས	gdungs nas
གདུངས་ཤིང	gdungs shing
མྱ་ངན་མེ་ཡིས་རབ་ཏུ་⟨~~⟩	mya ngan me yis rab tu [⟨~~⟩]
མྱ་ངན་རབ་ཏུ་⟨~~⟩	mya ngan rab tu [⟨~~⟩]
གདུད་འདུད་པ	gdud 'dud pa
གདུབ	gdub
གདུབ་ཅན	gdub can
གདུབ་བུ	gdub bu
གདུབ་བུ་རྒྱན་ཅན	gdub bu rgyan can
གདུབ་བུ་ཐམ་པ	gdub bu tham pa
གདུབས་སུ་བྱ་བ	gdubs su bya ba
གདུལ་འདུལ་བ	gdul 'dul ba
གདུལ་དཀའ	gdul dka'
གདུལ་དཀའ་སྔོན་པོ	gdul dka' sngon po
གདུལ་དཀའ་བ	gdul dka' ba
གདུལ་བའི་སྐྱེས	gdul ba'i skyes
གདུལ་བར་བྱ	gdul bar bya
གདུལ་བྱ་བ	gdul bya ba
གདུལ་བྱའི་ཚོགས	gdul bya'i tshogs
གདུས་པ	gdus pa
གདེག་⟨'deg(s)⟩་པ	gdeg [⟨'deg(s)⟩] pa
གདེག་པ་མེད་པ	gdeg pa med pa
གདེང	gdeng
གདེང་བ	gdeng ba
གདེང་ཚད	gdeng tshad
གདེངས་གདེང་བ	gdengs gdeng ba
གདེངས་ཀ	gdengs ka
གདེངས་ཀ་ཅན	gdengs ka can
གདེངས་ཀ་ཆེན་པོ	gdengs ka chen po
གདེངས་ཀ་ལྡན	gdengs ka ldan
གདེངས་ཀ་འཛིན	gdengs ka 'dzin
གདེངས་ཅན	gdengs can
གདེངས་ཅན་དབང	gdengs can dbang
གདེངས་ཅན་ལྷ་མོ	gdengs can lha mo
གདོང་ཁ	gdong kha
གདོང་ཁྱིའི་ལྟ་བུ	gdong khyi'i lta bu
གདོང་ལྔ་པ	gdong lnga pa
གདོང་གཉན་ཅན	gdong gnyan can
ཞལ་བཞི་པ་⟨~~⟩	zhal bzhi pa [⟨~~⟩]
གདོང་དྲུག	gdong drug
གདོང་ནས་མཆི་མ་ཟག	gdong nas mchi ma zag
གདོང་པོ་དྲུག་པ	gdong po drug pa
གདོང་ཕྱིས	gdong phyis
གདོང་བཞི	gdong bzhi
གདོང་རིང	gdong ring
གདོངས་པ་འཛིན་པ	gdongs pa 'dzin pa
གདོད་ཅིང	gdod cing
གདོད་ནས་མ་སྐྱེས་པ	gdod nas ma skyes pa
གདོད་མའི་སངས་རྒྱས	gdod ma'i sangs rgyas
གདོན་འདོན་པ	gdon 'don pa
གདོན་བགེགས	gdon bgegs
གདོན་ཐམས་ཅད་བརླབ་པར་བྱེད་པ་རྡོ་རྗེ་ཐོ་བ	gdon thams cad brlab par byed pa rdo rje tho ba
གདོན་པ	gdon pa
གདོན་བྱ	gdon bya
འགྱོད་པ་མི་བཟད་མེ་འབར་བས་སེམས་གདུང་འགྱུར་བར	'gyod pa mi bzad me 'bar bas sems gdung 'gyur bar
གདོན་མི་ཟ་བར་དྲན་པར་བྱ་བ	gdon mi za bar dran par bya ba
གདོན་མི་ཟ་བར་བྱ་དགོས་⟨(pa)⟩	gdon mi za bar bya dgos [⟨(pa)⟩]
གདོན་མི་ཟ་བ་ཡ་བ	gdon mi za ba ya ba
གདོན་མི་ཟ་བར་མེད་ན་མེད་པ	gdon mi za bar med na med pa
གདོལ་པ་མོ	gdol pa mo
གདོལ་པའི་རིགས	gdol pa'i rigs
གདོས་པ་འཛིན་པ	gdos pa 'dzin pa
བདག་ནི་རུས་པ་ཁྲག་མ་ཡིན	bdag ni rus pa khrag ma yin
བདག་ནི་བསོད་ནམས་མི་ལྡན་བཀྲེན་ཆེན་ཏེ	bdag ni bsod nams mi ldan bkren chen te
བདག་ཀྱང	bdag kyang
བདག་སྐྱེས	bdag skyes
བདག་གམ་བདག་གིར་འཛིན	bdag gam bdag gir 'dzin
བདག་གི་ཁྲག	bdag gi khrag
བདག་གི་འཁྲུལ་པ་རྣམས་ལ་སྐྱོན་དུ་ལྟ་ཞིང	bdag gi 'khrul pa rnams la skyon du lta zhing
བདག་གི་གྲུབ་པའི་མཐའ	bdag gi grub pa'i mtha'
བདག་གི་ཉེས་པ་འཆབ་པ	bdag gi nyes pa 'chab pa
བདག་གི་དོན་གྲུབ་པར་བྱེད་པ་ཞེས་བྱ་བ་རྣལ་འབྱོར་གྱི་བྱ་བའི་རིམ་པ	bdag gi don grub par byed pa zhes bya ba rnal 'byor gyi bya ba'i rim pa
བདག་གི་དོན་ཉིད	bdag gi don nyid
བདག་གི་དོན་དུ	bdag gi don du
བདག་གི་དོན་དུ་འདུ་འཛི	bdag gi don du 'du 'dzi
བདག་གི་དོན་བྱེད་པ	bdag gi don byed pa
བདག་གི་དོན་ལ་སྦྱོར་བའི་རྣམ་པས	bdag gi don la sbyor ba'i rnam pas
བདག་གི་དོན་སླད	bdag gi don slad
བདག་གི་སྡུག་བསྔལ	bdag gi sdug bsngal
བདག་གི་རྣལ་འབྱོར	bdag gi rnal 'byor
བདག་གི་སྤྱོད་པ	bdag gi spyod pa
བདག་གི་བ་ཉིད	bdag gi ba nyid
བདག་གི་བ་མེད་པ	bdag gi ba med pa
བདག་གི་བུའི་ཤ	bdag gi bu'i sha
བདག་གི་བློ	bdag gi blo
བདག་གི་མ	bdag gi ma
བདག་གི་མེད	bdag gi med
བདག་གི་སྨྲ་བ	bdag gi smra ba
བདག་གི་ཚུལ་ཁྲིམས་ལ་མི་བསྟོད་པ	bdag gi tshul khrims la mi bstod pa
བདག་གི་ཚོད	bdag gi tshod
བདག་གི་གཟུགས་ཀྱི་གྲིབ་མ་⟨(mthong⟩་⟨ba)⟩	bdag gi gzugs kyi grib ma [⟨(mthong⟩] [⟨ba)⟩]
བདག་གི་གཟུགས་བརྙན	bdag gi gzugs brnyan
བདག་གི་ཡིན	bdag gi yin
བདག་གི་ཡོན་ཏན	bdag gi yon tan
བདག་གི་རང་བཞིན་མིན	bdag gi rang bzhin min
བདག་གི་ལག་མཐུས་བསྒྲུབས་པ	bdag gi lag mthus bsgrubs pa
བདག་གི་ལས	bdag gi las
བདག་གི་ལུས	bdag gi lus
བདག་གི་ལུས་ཡོངས་སུ་གཏོང་བ	bdag gi lus yongs su gtong ba
བདག་གི་སེམས	bdag gi sems
བདག་གི་སེམས་སྣང་བ་རྣམ་པར་ཤེས་པའི་ཡུལ་དུ་རྣམ་པར་རྟོག་པའི	bdag gi sems snang ba rnam par shes pa'i yul du rnam par rtog pa'i
བདག་གི་སེམས་སྣང་བ་ཙམ	bdag gi sems snang ba tsam
བདག་གི་སེམས་སྣང་བའི་སྤྱོད་ཡུལ	bdag gi sems snang ba'i spyod yul
བདག་གི་སོ་སོ་རང་གིས་རིག་པ	bdag gi so so rang gis rig pa
བདག་གི་བསོད་ནམས	bdag gi bsod nams
ལས་ནི་⟨~~⟩	las ni [⟨~~⟩]
བདག་གིར་བྱ་བ་མེད་པ	bdag gir bya ba med pa
བདག་གིར་བྱས་པ	bdag gir byas pa
བདག་གིར་བྱེད	bdag gir byed
བདག་གིར་བྱེད་པ	bdag gir byed pa
བདག་གིར་གཟུང་བྱས་ནས	bdag gir gzung byas nas
བདག་གིར་བཟུང་མེད་པ	bdag gir bzung med pa
བདག་གིར་ཡོངས་སུ་འཛིན་པ	bdag gir yongs su 'dzin pa
གལ་ཏེ་⟨~~de⟩་རྟོགས་ནས	gal te [⟨~~de⟩] rtogs nas
བདག་གིས་ཉེས་པར་སེམས་ཤིང	bdag gis nyes par sems shing
བདག་གིས་ཉེས་སེམས	bdag gis nyes sems
བདག་གྲུབ་པ	bdag grub pa
བདག་རྒྱལ་པོ	bdag rgyal po
བདག་སྒྲུབ་པ་ལ་འཇུག་པ	bdag sgrub pa la 'jug pa
བདག་བསྒྲུབས་པ	bdag bsgrubs pa
བདག་དངོས་མིན	bdag dngos min
བདག་ཅག་གཉིས་ཀྱིས	bdag cag gnyis kyis
བདག་ཅག་ལྟ་བུ	bdag cag lta bu
བདག་ཅག་ལ	bdag cag la
བདག་ཅན	bdag can
ཐུགས་རྗེའི་⟨~~⟩	thugs rje'i [⟨~~⟩]
བདག་གཅིག་བུ་དབེན་པ	bdag gcig bu dben pa
བདག་གཅིག་ལ	bdag gcig la
སེམས་ཅན་གཅིག་གི་བདེ་བ་ཡང་བཤིག་ན་⟨~~nyams⟩་འགྱུར་ན	sems can gcig gi bde ba yang bshig na [⟨~~nyams⟩] 'gyur na
བདག་ཉིད་ཀྱི	bdag nyid kyi
བདག་ཉིད་ཀྱི་ཡང་དག་པའི་སྨོན་ལམ	bdag nyid kyi yang dag pa'i smon lam
བདག་ཉིད་ཀྱི་ལས་ཀྱི་རྣམ་པར་སྨིན་པ	bdag nyid kyi las kyi rnam par smin pa
བདག་ཉིད་ཀྱིས་རྟོགས་པ	bdag nyid kyis rtogs pa
བདག་ཉིད་ཀྱིས་ཟོས	bdag nyid kyis zos
བདག་ཉིད་ཀྱིས་ཡང་དག་པའི་སྨོན་ལམ་བཏབ་པ	bdag nyid kyis yang dag pa'i smon lam btab pa
བདག་ཉིད་ཀྱིས་⟨(kyi)⟩་ཡང་དག་པའི་ཤེས་པ་མཐོང་བ་འཇུག་པ	bdag nyid kyis [⟨(kyi)⟩] yang dag pa'i shes pa mthong ba 'jug pa
བདག་ཉིད་ཀྱིས་རབ་ཏུ་རྟོགས་པར་བྱ་བའི་དོན	bdag nyid kyis rab tu rtogs par bya ba'i don
བདག་ཉིད་སྐྱབས	bdag nyid skyabs
⟨~~yin⟩་གྱི་གཞན་སྐྱབས་མ་ཡིན	[⟨~~yin⟩] gyi gzhan skyabs ma yin
བདག་ཉིདྑོ་ན	bdag nyid+kho na
བདག་ཉིད་བསྒོམས་པ	bdag nyid bsgoms pa
བདག་ཉིད་ཅན	bdag nyid can
བདག་ཉིད་ཆེ་བ	bdag nyid che ba
བདག་ཉིད་ཇི་ལྟ་བ་བཞིན་དུ་འཇུག་པ་ལ་མཁས་པ	bdag nyid ji lta ba bzhin du 'jug pa la mkhas pa
བདག་ཉིད་བརྙས་པ	bdag nyid brnyas pa
བདག་ཉིད་མཐོ་བར་འདོད་པ་དེས	bdag nyid mtho bar 'dod pa des
བདག་ཉིད་དང་འདོད་པ	bdag nyid dang 'dod pa
བདག་ཉིད་དུ་མ་རེད	bdag nyid du ma red
བདག་ཉིད་དེ་ཁོ་ཉིད	bdag nyid de kho nyid
བདག་ཉིད་བདེ་བར་འདོད	bdag nyid bde bar 'dod
བདག་ཉིད་པར་སྨྲ་བ་མ་ནོར་བའི་དོན	bdag nyid par smra ba ma nor ba'i don
བདག་ཉིད་ཕྱིར	bdag nyid phyir
བདག་ཉིད་མ་ཡིན	bdag nyid ma yin
བདག་ཉིད་ཞལ་བཞེས	bdag nyid zhal bzhes
བདག་ཉིད་རབ་སྒྲུབ	bdag nyid rab sgrub
བདག་ཉིད་ལ	bdag nyid la
བདག་ཉིད་གསོ	bdag nyid gso
བདག་ཏུ་གྱུར་པ	bdag tu gyur pa
བདག་ཏུ་ང་རྒྱལ	bdag tu nga rgyal
བདག་ཏུ་ཆགས་པ	bdag tu chags pa
བདག་ཏུ་འདུ་ཤེས་མེད	bdag tu 'du shes med
བདག་ཏུ་རྨོངས་པ	bdag tu rmongs pa
བདག་ཏུ་སྨྲ་བ	bdag tu smra ba
བདག་ཏུ་སྨྲ་བ་ཡིན་ཏེ	bdag tu smra ba yin te
བདག་ཏུ་སྨྲ་བའི་སྡེ་པ	bdag tu smra ba'i sde pa
བདག་ཏུ་མཛད་པ	bdag tu mdzad pa
བདག་ཏུ་འཛིན	bdag tu 'dzin
བདག་ཏུ་འཛིན་པར་སྣང་བའི་མཚན་ཉིད་ལ་མངོན་པར་ཆགས་པ	bdag tu 'dzin par snang ba'i mtshan nyid la mngon par chags pa
བདག་སྟོད	bdag stod
བདག་སྟོད་པ	bdag stod pa
བདག་བརྟག་པ	bdag brtag pa
བདག་བསྟོད་ལྷུར་ལེན་པ	bdag bstod lhur len pa
བདག་མཐུ	bdag mthu
བདག་དང	bdag dang
བདག་⟨(dang)⟩་བཅས་པ	bdag [⟨(dang)⟩] bcas pa
བདག་དང་བཅས་པར་འདུག་པ	bdag dang bcas par 'dug pa
བདག་དང་བདག་གིར	bdag dang bdag gir
བདག་དང་ཕ་རོལ	bdag dang pha rol
བདག་དང་ཕ་རོལ་དང་གཉིས་ཀ	bdag dang pha rol dang gnyis ka
བདག་དང་དབང་པོ་དང་དོན་ལས་གང་བྱུང་བའི་ཤེས་པ་མངོན་སུམ་པ	bdag dang dbang po dang don las gang byung ba'i shes pa mngon sum pa
⟨~~gyi⟩་དོན	[⟨~~gyi⟩] don
⟨~~gyi⟩་མཚན་ཉིད	[⟨~~gyi⟩] mtshan nyid
⟨~~gyi⟩་ལུས་ལ་ཕན་པར་འདོད་པ	[⟨~~gyi⟩] lus la phan par 'dod pa
⟨~~du⟩་བརྗེ་བར་གྱིས	[⟨~~du⟩] brje bar gyis
⟨~~du⟩་མཉམ་པ	[⟨~~du⟩] mnyam pa
⟨~~la⟩་ཉེས་པ་འཐོབ་པ	[⟨~~la⟩] nyes pa 'thob pa
⟨~~la⟩་ཕན་འདོགས་པའི་རྒྱུ	[⟨~~la⟩] phan 'dogs pa'i rgyu
བདག་དང་སེམས་ཅན་ཅེས་མེད	bdag dang sems can ces med
བདག་དང་སེམས་ཅན་དབང་བྱ་ཞིང	bdag dang sems can dbang bya zhing
བདག་དང་སེམས་ཅན་མེད	bdag dang sems can med
བདག་དོན	bdag don
བདག་དྲང་དུ་གསོལ	bdag drang du gsol
བདག་བདེ་བ	bdag bde ba
བདག་བདེ་བ་མྱ་ངན་ལས་འདས་པ	bdag bde ba mya ngan las 'das pa
བདག་བདེ་ལེགས་སུ་འདོད་པ	bdag bde legs su 'dod pa
བདག་འདུ་བྱེད་དང་ལྡན	bdag 'du byed dang ldan
བདག་འདུ་བྱེད་ཡིན	bdag 'du byed yin
བདག་འདུ་ཤེས་དང་ལྡན	bdag 'du shes dang ldan
བདག་འདུ་ཤེས་པ་ཡིན	bdag 'du shes pa yin
བདག་འདྲ	bdag 'dra
བདག་སྡུག་བཞིན	bdag sdug bzhin
བདག་ནི་སངས་རྒྱས་དང་ཉེ་བར་གྱུར་རོ	bdag ni sangs rgyas dang nye bar gyur ro
