# pyewts.toWylie reference fixtures (OpenPecha/pyewts master, Apache-2.0)
# inputs: hgm_dictionary_v27_2 tibetan column + strided 84000 TM native unicode
ཀ	ka
ཀུན་བྱང	kun byang
ཀུན་བྱང་གི་འགྲིབ་འཕེལ	kun byang gi 'grib 'phel
ཀུན་བྱེད་ལས་རླུང	kun byed las rlung
ཀུན་འབྱུང	kun 'byung
ཀུན་འབྱུང་གི་བདེན་པ། ཀུན་འབྱུང་བདེན་པ	kun 'byung gi bden pa/_kun 'byung bden pa
ཀུན་འབྱུང་ཆོས་བཟོད	kun 'byung chos bzod
ཀུན་འབྱུང་ཆོས་ཤེས	kun 'byung chos shes
ཀུན་འབྱུང་རྗེས་བཟོད	kun 'byung rjes bzod
ཀུན་འབྱུང་རྗེས་ཤེས	kun 'byung rjes shes
ཀུན་འབྱུང་མཐོང་སྤང་ཉོན་མོངས་བཅུ	kun 'byung mthong spang nyon mongs bcu
ཀུན་འབྱུང་བདེན་པ	kun 'byung bden pa
ཀུན་འབྱུང་བདེན་པའི་ཁྱད་ཆོས་བཞི	kun 'byung bden pa'i khyad chos bzhi
ཀུན་འབྱུང་བདེན་པ། ཀུན་འབྱུང་གི་བདེན་པ	kun 'byung bden pa/_kun 'byung gi bden pa
ཀུན་འབྱུང་བའི་དོན་རྣམ་པ་གསུམ	kun 'byung ba'i don rnam pa gsum
ཀུན་འབྱུང་བའི་བདེན་པ། ཀུན་འབྱུང་བདེན་པ། ཀུན་འབྱུང་གི་བདེན་པ	kun 'byung ba'i bden pa/_kun 'byung bden pa/_kun 'byung gi bden pa
ཀུན་འབྱུང་བ། ཀུན་འབྱུང	kun 'byung ba/_kun 'byung
ཀུན་སྦྱོང་བ	kun sbyong ba
ཀུན་སྦྱོར། ཀུན་ཏུ་སྦྱོར་བ	kun sbyor/_kun tu sbyor ba
ཀུན་མ་སྟུད་པ	kun ma stud pa
ཀུན་ཚོལ་བ	kun tshol ba
ཀུན་འཛིན	kun 'dzin
ཀུན་འཛིན་པའི་རྒྱུ	kun 'dzin pa'i rgyu
ཀུན་རྫོགས	kun rdzogs
ཀུན་རྫོབ	kun rdzob
ཀུན་རྫོབ་ཀྱི་རྟོག་པ	kun rdzob kyi rtog pa
ཀུན་རྫོབ་ཀྱི་བདེན་པ་ཉིད	kun rdzob kyi bden pa nyid
ཀུན་རྫོབ་ཉིད	kun rdzob nyid
ཀུན་རྫོབ་ཏུ	kun rdzob tu
ཀུན་རྫོབ་ཏུ་བརྗོད	kun rdzob tu brjod
ཀུན་རྫོབ་ཏུ་ཡོད་པ	kun rdzob tu yod pa
ཀུན་རྫོབ་དང་དོན་དམ་པ	kun rdzob dang don dam pa
ཀུན་རྫོབ་བདེན་པ། ཀུན་རྫོབ་ཀྱི་བདེན་པ	kun rdzob bden pa/_kun rdzob kyi bden pa
ཀུན་རྫོབ་པའི་ཆོས་ཅན	kun rdzob pa'i chos can
ཀུན་རྫོབ་བྱང་ཆུབ་ཀྱི་སེམས	kun rdzob byang chub kyi sems
ཀུན་རྫོབ་ཙམ	kun rdzob tsam
ཀུན་རྫོབ་ལ་ལྟོས་པའི་ཞི་མཐའ	kun rdzob la ltos pa'i zhi mtha'
ཀུན་རྫོབ་ལས་བཟློག་པ་དོན་དམ་པའི་ངོ་བོ་ཉིད	kun rdzob las bzlog pa don dam pa'i ngo bo nyid
ཀུན་རྫོབ་སེམས་བསྐྱེད	kun rdzob sems bskyed
ཀུན་རྫོབ། ཐ་སྙད།	kun rdzob/_tha snyad/
ཀུན་རྫོབ། ཐ་སྙད	kun rdzob/_tha snyad
ཀུན་གཞི	kun gzhi
ཀུན་གཞི་རྣམ་པར་ཤེས་པ། ཀུན་གཞི་རྣམ་ཤེས	kun gzhi rnam par shes pa/_kun gzhi rnam shes
ཀུན་གཞི་རྣམ་ཤེས། ཀུན་གཞི་རྣམ་པར་ཤེས་པ	kun gzhi rnam shes/_kun gzhi rnam par shes pa
ཀུན་བཟང	kun bzang
ཀུན་བཟང་མཆོད་སྤྲིན	kun bzang mchod sprin
ཀུན་བཟང་རྡོ་རྗེ་འཆང་ཆེན	kun bzang rdo rje 'chang chen
ཀུན་བཟང་རྣམ་འཕྲུལ	kun bzang rnam 'phrul
ཀུན་བཟང། ཀུན་ཏུ་བཟང་པོ	kun bzang/_kun tu bzang po
ཀུན་ལ	kun la
ཀུན་ལས	kun las
ཀུན་ལས་བཏུས་པ	kun las btus pa
ཀུན་ལས་འདས	kun las 'das
ཀུན་ཤེས	kun shes
ཀུན་ཤེས་ཉིད	kun shes nyid
ཀུན་ཤེས་པ་དང་ལྡན་པ	kun shes pa dang ldan pa
ཀུན་ཤེས་པ་རིག་པའི་དབང་པོ	kun shes pa rig pa'i dbang po
ཀུན་ཤེས་པའི་དབང་པོ	kun shes pa'i dbang po
ཀུན་ཤེས་པར་བྱའོ་ཞེས	kun shes par bya'o zhes
ཀུན་ཤེས་པ། ཀུན་ཤེས	kun shes pa/_kun shes
ཀུན་ཤེས་ཤིང	kun shes shing
ཀུན་ཤེས། ཀུན་ཤེས་པ	kun shes/_kun shes pa
ཀུན་སོང། ཀུན་ཏུ་སོང། ཀུན་ཏུ་སོང་བ	kun song/_kun tu song/_kun tu song ba
ཀུན་སློང	kun slong
ཀུན་སློང་བ་དང་བཅས་པའི་ངག་གིས	kun slong ba dang bcas pa'i ngag gis
ཀུན་སློང་བྱང་ཆུབ་སེམས	kun slong byang chub sems
ཀུན་གསལ་ར་བ	kun gsal ra ba
ཀུལ་ཀ་བྱེད་པའི་གནས	kul ka byed pa'i gnas
ཀེང་རུས	keng rus
