# work_key	english	tibetan	raw_label	source	vinaya
S5357	Commentaries On The Practice	'GREL PA	Commentaries_On_The_Practice--'GREL_PA	r6	0
S5358		རྒྱུད།/སྤྱི།/འཕོ་བ།	རྒྱུད།/སྤྱི།/འཕོ་བ།	sungbum	0
S5358	Methods Of Sending Ones Mind Into Death	'PHO BA	Methods_Of_Sending_Ones_Mind_Into_Death--'PHO_BA	r6	0
S5359		རྒྱུད།/སྤྱི།/འཕོ་བ།	རྒྱུད།/སྤྱི།/འཕོ་བ།	sungbum	0
S5359	Methods Of Sending Ones Mind Into Death	'PHO BA	Methods_Of_Sending_Ones_Mind_Into_Death--'PHO_BA	r6	0
S536		ལམ་རིམ།/འགྲེལ་པ་བཞི་སྦྲག	ལམ་རིམ།/འགྲེལ་པ་བཞི་སྦྲག	sungbum	0
S536	Commentaries On The Practice	'GREL PA	Commentaries_On_The_Practice--'GREL_PA	r6	0
S5360		རྒྱུད།/འཁོར་ལོ་ཆེན་པོ།/མངོན་རྟོགས།	རྒྱུད།/འཁོར་ལོ་ཆེན་པོ།/མངོན་རྟོགས།	sungbum	0
S5360	Methods For The Practice Of Realization	MNGON RTOGS	Methods_For_The_Practice_Of_Realization--MNGON_RTOGS	r6	0
S5361		རྒྱུད།/སྤྱི།/ཆར་འབེབས།	རྒྱུད།/སྤྱི།/ཆར་འབེབས།	sungbum	0
S5361	Rituals That Cause Rain To Fall	CHAR 'BEBS	Rituals_That_Cause_Rain_To_Fall--CHAR_'BEBS	r6	0
S5362		རྒྱུད།/རྟ་མགྲིན།/རྣལ་འབྱོར།	རྒྱུད།/རྟ་མགྲིན།/རྣལ་འབྱོར།	sungbum	0
S5362	Instructions For Deep Spiritual Practice	RNAL 'BYOR	Instructions_For_Deep_Spiritual_Practice--RNAL_'BYOR	r6	0
S5362	Rituals For Stopping Excessive Rainfall	SPRIN BRAL	Rituals_For_Stopping_Excessive_Rainfall--SPRIN_BRAL	r6	0
S5363		རྒྱུད།/རི་ཁྲོད་ལོ་མ་ཅན།/སྒྲུབ་ཐབས།	རྒྱུད།/རི་ཁྲོད་ལོ་མ་ཅན།/སྒྲུབ་ཐབས།	sungbum	0
S5363	Methods For Reaching The Holy Being	SGRUB THABS	Methods_For_Reaching_The_Holy_Being--SGRUB_THABS	r6	0
S5364		རྒྱུད།/དབྱངས་ཅན་མ།/རྗེས་གནང་།	རྒྱུད།/དབྱངས་ཅན་མ།/རྗེས་གནང་།	sungbum	0
S5364	Methods For Reaching The Holy Being	SGRUB THABS	Methods_For_Reaching_The_Holy_Being--SGRUB_THABS	r6	0
S5364	Rites For Granting Sacred Permission	RJES GNANG	Rites_For_Granting_Sacred_Permission--RJES_GNANG	r6	0
S5365		རྒྱུད།/སྨེ་བརྩེགས།/སྒྲུབ་ཐབས།	རྒྱུད།/སྨེ་བརྩེགས།/སྒྲུབ་ཐབས།	sungbum	0
S5365	Methods For Reaching The Holy Being	SGRUB THABS	Methods_For_Reaching_The_Holy_Being--SGRUB_THABS	r6	0
S5366		རྒྱུད།/སྤྱི།/ལྷ་བཟོ།	རྒྱུད།/སྤྱི།/ལྷ་བཟོ།	sungbum	0
S5366	Works On Sacred Art	LHA BZO	Works_On_Sacred_Art--LHA_BZO	r6	0
S5367		རྒྱུད།/དེ་ཉིད་བསྡུས་པ།/འགྲེལ་པ།	རྒྱུད།/དེ་ཉིད་བསྡུས་པ།/འགྲེལ་པ།	sungbum	0
S5367	Commentaries On The Practice	'GREL PA	Commentaries_On_The_Practice--'GREL_PA	r6	0
S5368		རྒྱུད།/རྡོ་རྗེ་དབྱིངས།/ས་ཆོག	རྒྱུད།/རྡོ་རྗེ་དབྱིངས།/ས་ཆོག	sungbum	0
S5368	Rituals For Blessing A Site	SA CHOG	Rituals_For_Blessing_A_Site--SA_CHOG	r6	0
S5369		རྒྱུད།/རྡོ་རྗེ་དབྱིངས།/བསྙེན་པ།	རྒྱུད།/རྡོ་རྗེ་དབྱིངས།/བསྙེན་པ།	sungbum	0
S5369	Instructions For A Secret Retreat	BSNYEN PA	Instructions_For_A_Secret_Retreat--BSNYEN_PA	r6	0
S537		རྒྱུད།/འཇིགས་བྱེད།/བསྐྱེད་རིམ།	རྒྱུད།/འཇིགས་བྱེད།/བསྐྱེད་རིམ།	sungbum	0
S537	Instructions For The Stage Of Creation	BSKYED RIM	Instructions_For_The_Stage_Of_Creation--BSKYED_RIM	r6	0
S5370		རྒྱུད།/འཇམ་དབྱངས།/སྒྲུབ་ཐབས།	རྒྱུད།/འཇམ་དབྱངས།/སྒྲུབ་ཐབས།	sungbum	0
S5370	Methods For Reaching The Holy Being	SGRUB THABS	Methods_For_Reaching_The_Holy_Being--SGRUB_THABS	r6	0
S5371		རྒྱུད།/འཇམ་དབྱངས།/སྒྲུབ་ཐབས།	རྒྱུད།/འཇམ་དབྱངས།/སྒྲུབ་ཐབས།	sungbum	0
S5371	Methods For Reaching The Holy Being	SGRUB THABS	Methods_For_Reaching_The_Holy_Being--SGRUB_THABS	r6	0
S5372		ཉམས་ལེན།/བླ་མའི་རྣལ་འབྱོར།/རྗེ་ཙོང་ཁ་པ་བློ་བཟང་གྲགས་པ།	ཉམས་ལེན།/བླ་མའི་རྣལ་འབྱོར།/རྗེ་ཙོང་ཁ་པ་བློ་བཟང་གྲགས་པ།	sungbum	0
S5372	Lama Practices	BLA MA'I RNAL 'BYOR	Lama_Practices--BLA_MA'I_RNAL_'BYOR	r6	0
S5373		རྒྱུད།/འཇིགས་བྱེད།/སྒྲུབ་ཐབས།	རྒྱུད།/འཇིགས་བྱེད།/སྒྲུབ་ཐབས།	sungbum	0
S5373	Methods For Reaching The Holy Being	SGRUB THABS	Methods_For_Reaching_The_Holy_Being--SGRUB_THABS	r6	0
S5374		རྒྱུད།/འཇིགས་བྱེད།/སྒྲུབ་ཐབས།	རྒྱུད།/འཇིགས་བྱེད།/སྒྲུབ་ཐབས།	sungbum	0
S5374	Methods For Reaching The Holy Being	SGRUB THABS	Methods_For_Reaching_The_Holy_Being--SGRUB_THABS	r6	0
S5375		རྒྱུད།/སྤྱི།/རྫོགས་རིམ།	རྒྱུད།/སྤྱི།/རྫོགས་རིམ།	sungbum	0
S5375	Instructions For The Stage Of Completion	RDZOGS RIM	Instructions_For_The_Stage_Of_Completion--RDZOGS_RIM	r6	0
S5376		རྒྱུད།/སྤྱི།/རྫོགས་རིམ།	རྒྱུད།/སྤྱི།/རྫོགས་རིམ།	sungbum	0
S5376	Instructions For The Stage Of Completion	RDZOGS RIM	Instructions_For_The_Stage_Of_Completion--RDZOGS_RIM	r6	0
S5378		རྒྱུད།/གསང་འདུས།/སྒྲུབ་ཐབས།	རྒྱུད།/གསང་འདུས།/སྒྲུབ་ཐབས།	sungbum	0
S5378	Methods For Reaching The Holy Being	SGRUB THABS	Methods_For_Reaching_The_Holy_Being--SGRUB_THABS	r6	0
S5379		རྒྱུད།/གསང་འདུས།/མཆོད་པ།	རྒྱུད།/གསང་འདུས།/མཆོད་པ།	sungbum	0
S5379	Methods Of Performing Spiritual Offerings	MCHOD PA	Methods_Of_Performing_Spiritual_Offerings--MCHOD_PA	r6	0
S538		རྒྱུད།/ན་རོ་ཆོས་དྲུག/འགྲེལ་པ།	རྒྱུད།/ན་རོ་ཆོས་དྲུག/འགྲེལ་པ།	sungbum	0
S538	Commentaries On The Practice	'GREL PA	Commentaries_On_The_Practice--'GREL_PA	r6	0
S5380		རྒྱུད།/སྤྱི།/ས་ཆོག	རྒྱུད།/སྤྱི།/ས་ཆོག	sungbum	0
S5380	Rituals For Blessing A Site	SA CHOG	Rituals_For_Blessing_A_Site--SA_CHOG	r6	0
S5381		རྒྱུད།/དུས་འཁོར།/འགྲེལ་པ།	རྒྱུད།/དུས་འཁོར།/འགྲེལ་པ།	sungbum	0
S5381	Commentaries On The Practice	'GREL PA	Commentaries_On_The_Practice--'GREL_PA	r6	0
S5382		རྒྱུད།/འཁོར་ལོ་སྡོམ་པ།/མཆོད་པ།	རྒྱུད།/འཁོར་ལོ་སྡོམ་པ།/མཆོད་པ།	sungbum	0
S5382	Methods Of Performing Spiritual Offerings	MCHOD PA	Methods_Of_Performing_Spiritual_Offerings--MCHOD_PA	r6	0
S5383		རྒྱུད།/འཇིགས་བྱེད།/དག་སྦྱར།	རྒྱུད།/འཇིགས་བྱེད།/དག་སྦྱར།	sungbum	0
S5383	Methods Of Transformation	DAG SBYAR	Methods_Of_Transformation--DAG_SBYAR	r6	0
S5384		རྒྱུད།/འཇམ་དབྱངས།/སྒྲུབ་ཐབས།	རྒྱུད།/འཇམ་དབྱངས།/སྒྲུབ་ཐབས།	sungbum	0
S5384	Methods For Reaching The Holy Being	SGRUB THABS	Methods_For_Reaching_The_Holy_Being--SGRUB_THABS	r6	0
S5385		རྒྱུད།/རྣམ་པར་སྣང་མཛད།/ངན་སྦྱོང་།	རྒྱུད།/རྣམ་པར་སྣང་མཛད།/ངན་སྦྱོང་།	sungbum	0
S5385	Practices For Purifying The Lower Realms	NGAN SBYONG	Practices_For_Purifying_The_Lower_Realms--NGAN_SBYONG	r6	0
