Abb. Wylie,Abb. Unicode,Expan. Wylie,Expan. Unicode,Source
khro+imd,ཁྲོིམད,khrim sdod,ཁྲིམ་སྡོད,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
khriMs+shi+ing,ཁྲིཾསྴིིང,khrims shing,ཁྲིམས་ཤིང,rKTs (CC BY 4.0): Esukhia
khriMsrolnga,ཁྲིཾསྲོལྔ,khrims srol snga,ཁྲིམས་སྲོལ་སྔ,rKTs (CC BY 4.0): Esukhia
khriMs,ཁྲིཾས,khrims,ཁྲིམས,rKTs (CC BY 4.0)
'khru+od,འཁྲོུད,khrug cod,ཁྲུག་ཅོད,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
kh+r+rung,ཁྲྲུང,khrung khrung,ཁྲུང་ཁྲུང,rKTs (CC BY 4.0): Dzongkha abbreviations
khru+ed,ཁྲེུད,khrun med,ཁྲུན་མེད,rKTs (CC BY 4.0)
khru+ing,ཁྲིུང༌,khrun ring,ཁྲུན་རིང༌,rKTs (CC BY 4.0)
khrudo,ཁྲུདོ,khrun stod,ཁྲུན་སྟོད,rKTs (CC BY 4.0): Dzongkha abbreviations
khrumado,ཁྲུམདོ,khrum stod,ཁྲུམ་སྟོད,rKTs (CC BY 4.0): Dzongkha abbreviations
khru+od,ཁྲོུད,khrum stod,ཁྲུམ་སྟོད,rKTs (CC BY 4.0)
khrumad,ཁྲུམད,khrum smad,ཁྲུམ་སྨད,rKTs (CC BY 4.0): Dzongkha abbreviations
khruMd,ཁྲུཾད,khrum smad,ཁྲུམ་སྨད,rKTs (CC BY 4.0)
khruMdo,ཁྲུཾདོ,khrums stod,ཁྲུམས་སྟོད,rKTs (CC BY 4.0): Dzongkha abbreviations
khrumastod,ཁྲུམསྟོད,khrums stod,ཁྲུམས་སྟོད,rKTs (CC BY 4.0): Dzongkha abbreviations
khrumasmad,ཁྲུམསྨད,khrums smad,ཁྲུམས་སྨད,rKTs (CC BY 4.0): Dzongkha abbreviations
khruMn,ཁྲུཾན,khrus mkhan,ཁྲུས་མཁན,rKTs (CC BY 4.0): Dzongkha abbreviations
khreled,ཁྲེལེད,khrel med,ཁྲེལ་མེད,rKTs (CC BY 4.0): Dzongkha abbreviations
khreledaM,ཁྲེལེདཾ,khrel med,ཁྲེལ་མེད,rKTs (CC BY 4.0): Dzongkha abbreviations
khrelod,ཁྲེལོད,khrel yod,ཁྲེལ་ཡོད,rKTs (CC BY 4.0): Dzongkha abbreviations
khrore,ཁྲོརེ,khro gnyer,ཁྲོ་གཉེར,rKTs (CC BY 4.0): Dzongkha abbreviations
khrone,ཁྲོནེ,khro chen,ཁྲོ་ཆེན,rKTs (CC BY 4.0): Dzongkha abbreviations
khro+en,ཁྲོེན,khro chen,ཁྲོ་ཆེན,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
khro+er,ཁྲོེར,khro nyer,ཁྲོ་ཉེར,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
khrau khrau,ཁྲཽ་ཁྲཽ,khro bo khro mo,ཁྲོ་བོ་ཁྲོ་མོ,rKTs (CC BY 4.0): Dzongkha abbreviations
khrau cheno,ཁྲཽ་ཆེནོ,khro bo chen po,ཁྲོ་བོ་ཆེན་པོ,rKTs (CC BY 4.0): Dzongkha abbreviations
