Abb. Wylie,Abb. Unicode,Expan. Wylie,Expan. Unicode,Source
m^on,མོ༹ན,mo mtshan,མོ་མཚན,rKTs (CC BY 4.0): Dzongkha abbreviations
myu+od,མྱོུད,mo rgyud,མོ་རྒྱུད,rKTs (CC BY 4.0): Dzongkha abbreviations
monru,མོནྲུ,mon gru,མོན་གྲུ,rKTs (CC BY 4.0)
monre,མོནྲེ,mon gre,མོན་གྲེ,rKTs (CC BY 4.0): Dzongkha abbreviations
monre,མོནྲེ,mon dre,མོན་དྲེ,rKTs (CC BY 4.0): Tibetan Shorthand Contractions
mron,མྲོན,mon sran,མོན་སྲན,rKTs (CC BY 4.0): Dzongkha abbreviations
mru+ogo,མྲོུགོ,mos gus drag po,མོས་གུས་དྲག་པོ,rKTs (CC BY 4.0): Dzongkha abbreviations
mu+os,མོུས,mos gus,མོས་གུས,rKTs (CC BY 4.0): Dzongkha abbreviations
mosgoM,མོསྒོཾ,mos sgom,མོས་སྒོམ,rKTs (CC BY 4.0): Dzongkha abbreviations
mospyod,མོསྤྱོད,mos spyod,མོས་སྤྱོད,rKTs (CC BY 4.0): Dzongkha abbreviations
myaned,མྱནེད,mya ngan med,མྱ་ངན་མེད,rKTs (CC BY 4.0): Dzongkha abbreviations
myangan,མྱངན,mya ngan,མྱ་ངན,rKTs (CC BY 4.0): Dzongkha abbreviations
myan,མྱན,mya ngan,མྱ་ངན,rKTs (CC BY 4.0)
myaMn,མྱཾན,mya ngan,མྱ་ངན,rKTs (CC BY 4.0): Dzongkha abbreviations
myago,མྱགོ,myag myog,མྱག་མྱོག,rKTs (CC BY 4.0): Dzongkha abbreviations
maDa,མཌ་,myags,མྱགས་,rKTs (CC BY 4.0): Esukhia
myangan,མྱངན,myang ngan,མྱང་ངན,rKTs (CC BY 4.0): Nima Hojer Lama The Genealogy of Ya-ngal Family of Dolpo
myUr,མྱཱུར,myur myur,མྱུར་མྱུར,rKTs (CC BY 4.0): Dzongkha abbreviations
myongar,མྱོངར,myong bar,མྱོང་བར,rKTs (CC BY 4.0): Dzongkha abbreviations
tsagi,ཙགི,tsag tsig,ཙག་ཙིག,rKTs (CC BY 4.0): Dzongkha abbreviations
ts+dan,ཙྡན,tsan dan,ཙན་དན,rKTs (CC BY 4.0)
tsAb,ཙཱབ,tsab tsab,ཙབ་ཙབ,rKTs (CC BY 4.0): Dzongkha abbreviations
tsabu,ཙབུ,tsab tsub,ཙབ་ཙུབ,rKTs (CC BY 4.0): Dzongkha abbreviations
tsaM,ཙཾ,tsam,ཙམ,rKTs (CC BY 4.0)
tsitsi,ཙིཙི,tsi tsi,ཙི་ཙི,rKTs (CC BY 4.0): Esukhia
tsitshe'abru,ཙིཚེའབྲུ,tsi tshe 'bru,ཙི་ཚེ་འབྲུ,rKTs (CC BY 4.0): Esukhia
tsogu,ཙོགུ,tsog pu,ཙོག་པུ,rKTs (CC BY 4.0): Dzongkha abbreviations
tshoMs kha,ཚོཾས་ཁ་,tsha mos kha,ཚ་མོས་ཁ་,rKTs (CC BY 4.0): Esukhia
tshazer,ཚཟེར,tsha zer,ཚ་ཟེར,rKTs (CC BY 4.0): Esukhia
tshagsu,ཚགསུ,tshags su,ཚགས་སུ,rKTs (CC BY 4.0): Nima Hojer Lama The Genealogy of Ya-ngal Family of Dolpo
tshang^i,ཚངི༹,tshang tshing,ཚང་ཚིང,rKTs (CC BY 4.0): Dzongkha abbreviations
tshangasar,ཚངསར,tshangs par,ཚངས་པར,rKTs (CC BY 4.0): Esukhia
tshaMsred,ཚཾསྲེད,tshangs phyed,ཚངས་ཕྱེད,rKTs (CC BY 4.0): Esukhia
tshangaskul,ཚངསྐུལ,tshangs bskul,ཚངས་བསྐུལ,rKTs (CC BY 4.0): Dzongkha abbreviations
tshangaskud,ཚངསྐུད,tshangs skud,ཚངས་སྐུད,rKTs (CC BY 4.0): Dzongkha abbreviations
tshangaskyes,ཚངསྐྱེས,tshangs skyes,ཚངས་སྐྱེས,rKTs (CC BY 4.0): Dzongkha abbreviations
tshangaspyod,ཚངསྤྱོད,tshangs spyod,ཚངས་སྤྱོད,rKTs (CC BY 4.0): Dzongkha abbreviations
tshangasras,ཚངསྲས,tshangs sras,ཚངས་སྲས,rKTs (CC BY 4.0): Dzongkha abbreviations
tshadagung,ཚདགུང,tshad dgung,ཚད་དགུང,rKTs (CC BY 4.0): Dzongkha abbreviations
tshadus,ཚདུས,tshad dus,ཚད་དུས,rKTs (CC BY 4.0): Dzongkha abbreviations
tshadaM,ཚདཾ,tshad ma,ཚད་མ,rKTs (CC BY 4.0): Dzongkha abbreviations
tsh+mad,ཚྨད,tshad ma,ཚད་མ,rKTs (CC BY 4.0): Dzongkha abbreviations
tshadaMr^in,ཚདཾརི༹ན,tshad mar 'dzin,ཚད་མར་འཛིན,rKTs (CC BY 4.0): Dzongkha abbreviations
tshadeM,ཚདེཾ,tshad med,ཚད་མེད,rKTs (CC BY 4.0): Dzongkha abbreviations
tshaMded,ཚྃདེད,tshad med,ཚད་མེད,rKTs (CC BY 4.0): Esukhia
tshadas,ཚདས,tshad yas,ཚད་ཡས,rKTs (CC BY 4.0): Dzongkha abbreviations
tshAn rig pa,ཚཱན་རིག་པ,tshan tshan rig pa,ཚན་ཚན་རིག་པ,rKTs (CC BY 4.0): Dzongkha abbreviations
tsham^o,ཚམོ༹,tsham tshom,ཚམ་ཚོམ,rKTs (CC BY 4.0): Dzongkha abbreviations
tsharu,ཚརུ,tshar bu,ཚར་བུ,rKTs (CC BY 4.0): Dzongkha abbreviations
tshiguMng,ཚིགུྃང,tshi gu mang,ཚི་གུ་མང,rKTs (CC BY 4.0): Esukhia
tshiganyan,ཚིགཉན,tshig gnyan,ཚིག་གཉན,rKTs (CC BY 4.0): Esukhia
tshigasuM,ཚིགསུཾ,tshig gsum,ཚིག་གསུམ,rKTs (CC BY 4.0): Dzongkha abbreviations
tshigsuM,ཚིགསུཾ,tshig gsum,ཚིག་གསུམ,rKTs (CC BY 4.0): Nima Hojer Lama The Genealogy of Ya-ngal Family of Dolpo
tshigi,ཚིགི,tshig gi,ཚིག་གི,rKTs (CC BY 4.0): Dzongkha abbreviations
tshigis,ཚིགིས,tshig gis,ཚིག་གིས,rKTs (CC BY 4.0): Dzongkha abbreviations
tsh+nyigo,ཚྙིགོ,tshig nyog,ཚིག་ཉོག,rKTs (CC BY 4.0): Esukhia
bcad lhug,བཅད་ལྷུག,tshig bcad dang lhug ma,ཚིག་བཅད་དང་ལྷུག་མ,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
tshigang,ཚིགང་,tshig rkang,ཚིག་རྐང་,rKTs (CC BY 4.0): Esukhia
tshigad,ཚིགད,tshigs bcad,ཚིགས་བཅད,rKTs (CC BY 4.0): Dzongkha abbreviations
tshigasad,ཚིགསད,tshigs bcad,ཚིགས་བཅད,rKTs (CC BY 4.0): Dzongkha abbreviations
tshigasud,ཚིགསུད,tshigs su bcad,ཚིགས་སུ་བཅད,rKTs (CC BY 4.0): Dzongkha abbreviations
tshigasul,ཚིགསུལ,tshigs sul,ཚིགས་སུལ,rKTs (CC BY 4.0): Dzongkha abbreviations
tshiDa,ཚིཌ,tshigs,ཚིགས,rKTs (CC BY 4.0): Esukhia
tshuD,ཚུཌ,tshugs,ཚུགས,rKTs (CC BY 4.0): Nima Hojer Lama The Genealogy of Ya-ngal Family of Dolpo
tshunadu,ཚུནདུ,tshun chad du,ཚུན་ཆད་དུ,rKTs (CC BY 4.0): Dzongkha abbreviations
tshul+riMsuM,ཚུལྲིྃསུྃ་,tshul khrims gsum,ཚུལ་ཁྲིམས་གསུམ་,rKTs (CC BY 4.0): Esukhia
tshul+rims,ཚུལྲིམས,tshul khrims,ཚུལ་ཁྲིམས,rKTs (CC BY 4.0): Tibetan Shorthand Contractions
tshu+ims,ཚིུམས,tshul khrims,ཚུལ་ཁྲིམས,rKTs (CC BY 4.0)
tshu+il+raMs,ཚིུལྲཾས,tshul khrims,ཚུལ་ཁྲིམས,rKTs (CC BY 4.0): Dzongkha abbreviations
tshu+r^u+is,ཚུྲིུ༹ས,tshul khrims,ཚུལ་ཁྲིམས,rKTs (CC BY 4.0): Dzongkha abbreviations
tshrulim,ཚྲུལིམ,tshul khrims,ཚུལ་ཁྲིམས,rKTs (CC BY 4.0): Nima Hojer Lama The Genealogy of Ya-ngal Family of Dolpo
tsh+r^u+iMs_,ཚྲིུ༹ཾས,tshul khrims,ཚུལ་ཁྲིམས,rKTs (CC BY 4.0): Dzongkha abbreviations
tshulugs,ཚུལུགས,tshul lugs,ཚུལ་ལུགས,rKTs (CC BY 4.0): Dzongkha abbreviations
tshuluT,ཚུལུཊ,tshul lugs,ཚུལ་ལུགས,rKTs (CC BY 4.0): Dzongkha abbreviations
tshuldan,ཚུལྡན,tshul ldan,ཚུལ་ལྡན,rKTs (CC BY 4.0)
tshe bsod,ཚེ་བསོད,tshe dang bsod nams,ཚེ་དང་བསོད་ནམས,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
tshedapagedaM,ཚེདཔགེདཾ,tshe dpag med,ཚེ་དཔག་མེད,rKTs (CC BY 4.0): Dzongkha abbreviations
tshe+dang,ཚེྡང,tshe dbang,ཚེ་དབང,rKTs (CC BY 4.0): Nima Hojer Lama The Genealogy of Ya-ngal Family of Dolpo
tshesod,ཚེསོད,tshe bsod,ཚེ་བསོད,rKTs (CC BY 4.0): Dzongkha abbreviations
tshed,ཚེད,tshe tshad,ཚེ་ཚད,rKTs (CC BY 4.0): Dzongkha abbreviations
tshe+e,ཚེེ,tshe tshe,ཚེ་ཚེ,rKTs (CC BY 4.0): Dzongkha abbreviations
tshedas,ཚེདས,tshe 'das,ཚེ་འདས,rKTs (CC BY 4.0): Dzongkha abbreviations
tsh+des,ཚྡེས,tshe 'das,ཚེ་འདས,rKTs (CC BY 4.0)
tshengi,ཚེངི༌,tshe ring,ཚེ་རིང༌,rKTs (CC BY 4.0): Dzongkha abbreviations
tshe+ing+yonarog,ཚེིངྱོནརོག,tshe ring lo brgya lon par shog,ཚེ་རིང་ལོ་བརྒྱ་ལོན་པར་ཤོག,rKTs (CC BY 4.0): Dzongkha abbreviations
tshedan,ཚེདན,tshe ldan,ཚེ་ལྡན,rKTs (CC BY 4.0): Dzongkha abbreviations
tsh+den,ཚྡེན,tshe ldan,ཚེ་ལྡན,rKTs (CC BY 4.0): Tibetan Shorthand Contractions
tsh+rego,ཚྲེགོ,tshe srog,ཚེ་སྲོག,rKTs (CC BY 4.0): Dzongkha abbreviations
tsh+ro+eg,ཚྲོེག,tshe srog,ཚེ་སྲོག,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
tshe+uM,ཚེུཾ,tshem bu,ཚེམ་བུ,rKTs (CC BY 4.0): Dzongkha abbreviations
tsheraM,ཚེརཾ,tsher ma,ཚེར་མ,rKTs (CC BY 4.0): Dzongkha abbreviations
tshes+yi,ཚེསྱི,tshes kyi,ཚེས་ཀྱི,rKTs (CC BY 4.0): Dzongkha abbreviations
tshesa'i,ཚེསའི,tshes pa'i,ཚེས་པའི,rKTs (CC BY 4.0): Dzongkha abbreviations
tshoTadag,ཚོཊདག,tshogs bdag,ཚོགས་བདག,rKTs (CC BY 4.0): Dzongkha abbreviations
bsag sbyang,བསག་སྦྱང,tshogs bsag pa dang sdig pa sbyang ba,ཚོགས་བསག་པ་དང་སྡིག་པ་སྦྱང་བ,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
tshogasbyor,ཚོགསྦྱོར,tshogs sbyor,ཚོགས་སྦྱོར,rKTs (CC BY 4.0): Dzongkha abbreviations
tshogsu,ཚོགསུ,tshogs su,ཚོགས་སུ,rKTs (CC BY 4.0): Nima Hojer Lama The Genealogy of Ya-ngal Family of Dolpo
tshoD,ཚོཌ,tshogs,ཚོགས,rKTs (CC BY 4.0): Nima Hojer Lama The Genealogy of Ya-ngal Family of Dolpo
tshoDa,ཚོཌ,tshogs,ཚོགས,rKTs (CC BY 4.0): Esukhia
tshono,ཚོནོ,tshon po,ཚོན་པོ,rKTs (CC BY 4.0): Dzongkha abbreviations
tshon^i,ཚོནི༹,tshon rtsi,ཚོན་རྩི,rKTs (CC BY 4.0): Dzongkha abbreviations
tshu+oM,ཚོུཾ,tshom bu,ཚོམ་བུ,rKTs (CC BY 4.0)
tshoMs,ཚོཾས,tshoms,ཚོམས,rKTs (CC BY 4.0): Nima Hojer Lama The Genealogy of Ya-ngal Family of Dolpo
chos+yi,ཆོསྱི་,tshos kyi,ཚོས་ཀྱི་,rKTs (CC BY 4.0): Esukhia
ch+goso,ཆྒོསོ,tshos gos,ཚོས་གོས་,rKTs (CC BY 4.0): Esukhia
tshosla,ཚོསླ,tshos sla,ཚོས་སླ,rKTs (CC BY 4.0): Dzongkha abbreviations
dzam+bu'+chi+us+yer,ཛམྦུའྖིུསྱེར,dzam+bu'i chu gser,ཛམྦུའི་ཆུ་གསེར,rKTs (CC BY 4.0): Esukhia
wan,ཝན,wa can,ཝ་ཅན,rKTs (CC BY 4.0): Dzongkha abbreviations
warnaMs+yismras pa,ཝརྣཾསྱིསྨྲས་པ,wa rnams kyis smras pa,ཝ་རྣམས་ཀྱིས་སྨྲས་པ,rKTs (CC BY 4.0): Dzongkha abbreviations
wale,ཝལེ,wa le,ཝ་ལེ,rKTs (CC BY 4.0): Dzongkha abbreviations
wale,ཝལེ,wal le,ཝལ་ལེ,rKTs (CC BY 4.0): Dzongkha abbreviations
zh+nye,ཞྙེ,zha nye,ཞ་ཉེ,rKTs (CC BY 4.0): Esukhia
zhagasuM,ཞགསུཾ,zhag gsum,ཞག་གསུམ,rKTs (CC BY 4.0)
zhagsuM,ཞགསུཾ,zhag gsum,ཞག་གསུམ,rKTs (CC BY 4.0): Nima Hojer Lama The Genealogy of Ya-ngal Family of Dolpo
zhagaphul+yiMde,ཞགཕུལྱིྃདེ,zhag 'phul mi byed,ཞག་འཕུལ་མི་བྱེད,rKTs (CC BY 4.0): Esukhia
zhaDa,ཞཌ་,zhags,ཞགས་,rKTs (CC BY 4.0): Esukhia
zhangu,ཞངུ,zhang zhung,ཞང་ཞུང,rKTs (CC BY 4.0): Dzongkha abbreviations
zhabas+yi,ཞབསྱི,zhabs kyi,ཞབས་ཀྱི,rKTs (CC BY 4.0): Dzongkha abbreviations
zhabas+yis,ཞབསྱིས,zhabs kyis,ཞབས་ཀྱིས,rKTs (CC BY 4.0): Dzongkha abbreviations
zh+yu,ཞྱུ,zhabs kyu,ཞབས་ཀྱུ,rKTs (CC BY 4.0): Dzongkha abbreviations
zhabasaM,ཞབསཾ,zhabs ma,ཞབས་མ,rKTs (CC BY 4.0): Dzongkha abbreviations
zh+ren,ཞྲེན,zhabs 'dren,ཞབས་འདྲེན,rKTs (CC BY 4.0): Dzongkha abbreviations
zh+ring,ཞྲིང,zhabs 'bring,ཞབས་འབྲིང,rKTs (CC BY 4.0): Dzongkha abbreviations
zhabasu,ཞབསུ,zhabs su,ཞབས་སུ,rKTs (CC BY 4.0): Dzongkha abbreviations
zhabasen,ཞབསེན,zhabs sen,ཞབས་སེན,rKTs (CC BY 4.0): Esukhia
zharo,ཞརོ,zhar zhor,ཞར་ཞོར,rKTs (CC BY 4.0): Dzongkha abbreviations
zhal gdaMs,ཞལ་གདཾས,zhal gdams,ཞལ་གདམས,rKTs (CC BY 4.0): Dzongkha abbreviations
zhal+yi gdaMs pa,ཞལྱི་གདཾས་པ,zhal gyi gdams pa,ཞལ་གྱི་གདམས་པ,rKTs (CC BY 4.0): Dzongkha abbreviations
zhal+yi,ཞལྱི,zhal gyi,ཞལ་གྱི,rKTs (CC BY 4.0): Dzongkha abbreviations
zhaMlas,ཞཾལས,zhal zas,ཞལ་ཟས,rKTs (CC BY 4.0): Dzongkha abbreviations
zhal^as,ཞལ༹ས,zhal zas,ཞལ་ཟས,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
zhalas,ཞལས,zhal zas,ཞལ་ཟས,rKTs (CC BY 4.0): Dzongkha abbreviations
zh^as,ཞ༹ས,zhal zas,ཞལ་ཟས,rKTs (CC BY 4.0)
zhalag,ཞལག,zhal lag,ཞལ་ལག,rKTs (CC BY 4.0): Dzongkha abbreviations
zhalnga,ཞལྔ,zhal lnga,ཞལ་ལྔ,rKTs (CC BY 4.0): Dzongkha abbreviations
zhalce,ཞལྕེ,zhal lce,ཞལ་ལྕེ,rKTs (CC BY 4.0)
zhalngar,ཞལྔར,zhal sngar,ཞལ་སྔར,rKTs (CC BY 4.0): Dzongkha abbreviations
zhi+o,ཞིོ,zhi khro,ཞི་ཁྲོ,rKTs (CC BY 4.0): Dzongkha abbreviations
zho+i,ཞོི,zhi khro,ཞི་ཁྲོ,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
zhin+yas+yi,ཞིནྱསྱི,zhi gnas kyi,ཞི་གནས་ཀྱི,rKTs (CC BY 4.0): Esukhia
zhu+il,ཞིུལ,zhi dul,ཞི་དུལ,rKTs (CC BY 4.0): Dzongkha abbreviations
zh+rig,ཞྲིག,zhi drag,ཞི་དྲག,rKTs (CC BY 4.0): Dzongkha abbreviations
zhi'i,ཞིའི,zhi ba'i,ཞི་བའི,rKTs (CC BY 4.0): Esukhia
zhigis,ཞིགིས,zhig gis,ཞིག་གིས,rKTs (CC BY 4.0): Nima Hojer Lama The Genealogy of Ya-ngal Family of Dolpo
zhingakhaMsu,ཞིངཁཾསུ,zhing khams su,ཞིང་ཁམས་སུ,rKTs (CC BY 4.0): Dzongkha abbreviations
zhingasuM,ཞིངསུཾ,zhing khams su,ཞིང་ཁམས་སུ,rKTs (CC BY 4.0): Dzongkha abbreviations
zhingmas,ཞིངམས,zhing khams,ཞིང་ཁམས,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
zhingasaM,ཞིངསཾ,zhing khams,ཞིང་ཁམས,rKTs (CC BY 4.0): Dzongkha abbreviations
zhisaM,ཞིསཾ,zhing khams,ཞིང་ཁམས,rKTs (CC BY 4.0): Dzongkha abbreviations
zhingeT,ཞིངེཊ,zhing gshegs,ཞིང་གཤེགས,rKTs (CC BY 4.0): Dzongkha abbreviations
zhingen,ཞིངེན,zhing chen,ཞིང་ཆེན,rKTs (CC BY 4.0): Dzongkha abbreviations
zhi+engn,ཞིེངན,zhing chen,ཞིང་ཆེན,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
zhing+nas,ཞིངྣས,zhing nas,ཞིང་ནས,rKTs (CC BY 4.0): Esukhia
zhing+ba'o,ཞིངྦའོ་,zhing ba'o,ཞིང་བའོ་,rKTs (CC BY 4.0): Esukhia
zhings,ཞིངས,zhing las,ཞིང་ལས,rKTs (CC BY 4.0): Dzongkha abbreviations
zh+yise,ཞྱིསེ,zhing skyes,ཞིང་སྐྱེས,rKTs (CC BY 4.0): Dzongkha abbreviations
zhing+yo,ཞིངྱོ༌,zhing skyong,ཞིང་སྐྱོང༌,rKTs (CC BY 4.0): Dzongkha abbreviations
zh+yo+ing,ཞྱོིང,zhing skyong,ཞིང་སྐྱོང,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
zhibasher,ཞིབཤེར,zhib bsher,ཞིབ་བཤེར,rKTs (CC BY 4.0): Dzongkha abbreviations
zhibaMthong,ཞིབཾཐོང,zhib mthong,ཞིབ་མཐོང,rKTs (CC BY 4.0): Esukhia
zhibso,ཞིབསོ,zhibs so,ཞིབས་སོ,rKTs (CC BY 4.0): Nima Hojer Lama The Genealogy of Ya-ngal Family of Dolpo
zhiM,ཞིྃ་,zhim,ཞིམ་,rKTs (CC BY 4.0)
zhu+ol,ཞོུལ,zhu gsol,ཞུ་གསོལ,rKTs (CC BY 4.0)
zhu+en,ཞེུན,zhu chen,ཞུ་ཆེན,rKTs (CC BY 4.0)
zhur,ཞུར,zhu bar,ཞུ་བར,rKTs (CC BY 4.0): Dzongkha abbreviations
zhuMn,ཞུཾན,zhu mkhan,ཞུ་མཁན,rKTs (CC BY 4.0): Dzongkha abbreviations
zhu+id,ཞིུད,zhu mchid,ཞུ་མཆིད,rKTs (CC BY 4.0): Dzongkha abbreviations
zhu+ing,ཞིུང༌,zhu zhing,ཞུ་ཞིང༌,rKTs (CC BY 4.0)
zhu+ig,ཞིུག,zhu yig,ཞུ་ཡིག,rKTs (CC BY 4.0)
zhugasla,ཞུགསླ,zhugs sla,ཞུགས་སླ,rKTs (CC BY 4.0): Dzongkha abbreviations
zhuDa,ཞུཌ་,zhugs,ཞུགས་,rKTs (CC BY 4.0): Esukhia
zhunaMsris,ཞུནཾསྲིས,zhun mas bris,ཞུན་མས་བྲིས་,rKTs (CC BY 4.0): Esukhia
zhuban,ཞུབན,zhub can,ཞུབ་ཅན,rKTs (CC BY 4.0): Dzongkha abbreviations
zhuben,ཞུབེན,zhub chen,ཞུབ་ཆེན,rKTs (CC BY 4.0): Dzongkha abbreviations
zhumed,ཞུམེད,zhum med,ཞུམ་མེད,rKTs (CC BY 4.0): Dzongkha abbreviations
zhu+eMd,ཞེུཾད,zhum med,ཞུམ་མེད,rKTs (CC BY 4.0): Dzongkha abbreviations
zhUm,ཞཱུམ,zhum zhum,ཞུམ་ཞུམ,rKTs (CC BY 4.0): Dzongkha abbreviations
zhuso,ཞུསོ,zhus so,ཞུས་སོ,rKTs (CC BY 4.0): Dzongkha abbreviations
zhesuM,ཞེསུཾ,zhe gsum,ཞེ་གསུམ,rKTs (CC BY 4.0): Dzongkha abbreviations
zh+reg,ཞྲེག,zhe drag,ཞེ་དྲག,rKTs (CC BY 4.0): Dzongkha abbreviations
zhu+eso,ཞེུསོ,zhe zhus so,ཞེ་ཞུས་སོ,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
zh+deng,ཞྡེང༌,zhe sdang,ཞེ་སྡང༌,rKTs (CC BY 4.0)
zhesdang,ཞེསྡང,zhe sdang,ཞེ་སྡང,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
zhenaT,ཞེནཊ,zhen chags,ཞེན་ཆགས,rKTs (CC BY 4.0): Dzongkha abbreviations
zhesunga'i don,ཞེསུངའི་དོན,zhes gsung ba'i don,ཞེས་གསུང་བའི་དོན,rKTs (CC BY 4.0): Dzongkha abbreviations
zh+yengos,ཞྱེངོས,zhes gsung so,ཞེས་གསུང་སོ,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
zhesungs pa,ཞེསུངས་པ,zhes gsungs pa,ཞེས་གསུངས་པ,rKTs (CC BY 4.0): Dzongkha abbreviations
zhu+engaso,ཞེུངསོ,zhes gsungs so,ཞེས་གསུངས་སོ,rKTs (CC BY 4.0): Dzongkha abbreviations
zhesungaso,ཞེསུངསོ,zhes gsungs so,ཞེས་གསུངས་སོ,rKTs (CC BY 4.0): Dzongkha abbreviations
zhesapo,ཞེསཔོ་,zhes pa'o,ཞེས་པའོ་,rKTs (CC BY 4.0): Esukhia
zhes'o,ཞེསའོ,zhes pa'o,ཞེས་པའོ,rKTs (CC BY 4.0): Nima Hojer Lama The Genealogy of Ya-ngal Family of Dolpo
zhes+jod pa,ཞེསྗོད,zhes brjod pa,ཞེས་བརྗོད་པ,rKTs (CC BY 4.0): Dzongkha abbreviations
zhestaud,ཞེསྟཽད,zhes bstod do,ཞེས་བསྟོད་དོ,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
zhestodo,ཞེསྟོདོ,zhes bstod do,ཞེས་བསྟོད་དོ,rKTs (CC BY 4.0): Dzongkha abbreviations
zhu+eso,ཞེུསོ,zhes zhus so,ཞེས་ཞུས་སོ,rKTs (CC BY 4.0): Dzongkha abbreviations
zheso,ཞེསོ,zhes so,ཞེས་སོ,rKTs (CC BY 4.0): Dzongkha abbreviations
zhesoDa,ཞེསོཌ་,zhes sogs,ཞེས་སོགས་,rKTs (CC BY 4.0): Esukhia
zh+nyol,ཞྙོལ,zho snyal,ཞོ་སྙལ,rKTs (CC BY 4.0): Esukhia
zhod+cho,ཞོདྖོ,zhod che,ཞོད་ཆེ,rKTs (CC BY 4.0): Esukhia
zakhang,ཟཁངྀ,za khang,ཟ་ཁང,rKTs (CC BY 4.0): Esukhia
z+yed,ཟྱེད,za byed,ཟ་བྱེད,rKTs (CC BY 4.0)
zaM,ཟྃ་,za ma,ཟ་མ་,rKTs (CC BY 4.0): Esukhia
zazhing,ཟཞིང,za zhing,ཟ་ཞིང,rKTs (CC BY 4.0): Esukhia
zag+cas+zagegad,ཟགྕསྯགེགད,zag bcas zag med,ཟག་བཅས་ཟག་མེད,rKTs (CC BY 4.0): Esukhia
zagedaM,ཟགེདཾ,zag med,ཟག་མེད,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
zageMd,ཟགེཾད,zag med,ཟག་མེད,rKTs (CC BY 4.0): Dzongkha abbreviations
zagaMde,ཟགྃདེ,zag med,ཟག་མེད,rKTs (CC BY 4.0): Esukhia
zed,ཟེད,zag med,ཟག་མེད,rKTs (CC BY 4.0): Esukhia
zangasay+ya',ཟངསཡྱའ,zangs g.ya',ཟངས་གཡའ,rKTs (CC BY 4.0): Esukhia
zangalcaDa,ཟངལྕཌ,zangs lcags,ཟངས་ལྕགས,rKTs (CC BY 4.0): Esukhia
zade,ཟདེ,zad de,ཟད་དེ,rKTs (CC BY 4.0): Dzongkha abbreviations
zad+yed,ཟདྱེད,zad byed,ཟད་བྱེད,rKTs (CC BY 4.0): Esukhia
zabarling,ཟབརླིང,zab brling,ཟབ་བརླིང,rKTs (CC BY 4.0): Dzongkha abbreviations
zaboM,ཟབོཾ,zab mo,ཟབ་མོ,rKTs (CC BY 4.0)
zabasu,ཟབསུ,zabs su,ཟབས་སུ,rKTs (CC BY 4.0): Dzongkha abbreviations
zamu,ཟམུ,zam zum,ཟམ་ཟུམ,rKTs (CC BY 4.0): Dzongkha abbreviations
zaM,ཟྃ,zam,ཟམ,rKTs (CC BY 4.0)
zaru,ཟརུ,zar zur,ཟར་ཟུར,rKTs (CC BY 4.0): Dzongkha abbreviations
zasany+ya,ཟསཉྱ,zas gnyag,ཟས་གཉག,rKTs (CC BY 4.0): Esukhia
zasang,ཟསང་,zas dang,ཟས་དང་,rKTs (CC BY 4.0): Esukhia
zas+cud,ཟསྕུད,zas bcud,ཟས་བཅུད,rKTs (CC BY 4.0): Esukhia
zasod,ཟསོད,zas bsod,ཟས་བསོད,rKTs (CC BY 4.0): Dzongkha abbreviations
zasu,ཟསུ,zas su,ཟས་སུ,rKTs (CC BY 4.0): Dzongkha abbreviations
zIng,ཟཱིང,zing zing,ཟིང་ཟིང,rKTs (CC BY 4.0): Dzongkha abbreviations
zinad+yang,ཟིནདྱང,zin kyang,ཟིན་ཀྱང,rKTs (CC BY 4.0): Esukhia
zinar,ཟིནར,zin par,ཟིན་པར,rKTs (CC BY 4.0): Dzongkha abbreviations
zu+ing,ཟིུང༌,zin phung,ཟིན་ཕུང༌,rKTs (CC BY 4.0): Dzongkha abbreviations
zIm,ཟཱིམ,zim zim,ཟིམ་ཟིམ,rKTs (CC BY 4.0): Dzongkha abbreviations
zilaM,ཟིལཾ,zil ma,ཟིལ་མ,rKTs (CC BY 4.0): Dzongkha abbreviations
zungig,ཟུངིག,zung gcig,ཟུང་གཅིག,rKTs (CC BY 4.0): Dzongkha abbreviations
zung^ud,ཟུངུ༹ད,zung tshud,ཟུང་ཚུད,rKTs (CC BY 4.0): Dzongkha abbreviations
zungag,ཟུངག,zung 'jug,ཟུང་འཇུག,rKTs (CC BY 4.0): Dzongkha abbreviations
zungug,ཟུངུག,zung 'jug,ཟུང་འཇུག,rKTs (CC BY 4.0): Dzongkha abbreviations
zu+uMg,ཟུུཾག,zung 'jug,ཟུང་འཇུག,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
