acip_input_code,gmr_reading,occurrences,courses,differs_from_plain_strip
udaka,udaka,4,TCS04Initiation,no
hri#:,hri,4,TCS04Initiation TCS07 TCS08PabongkaSadhana,yes
atmako'ham%,atmakoham,4,TCS04Mantras TCS04PrayerBook TCS07,yes
ru#pa,rupa,4,TCS07 TCS16KaliWang,no
rasa,rasa,4,TCS07 TCS16KaliWang,no
spars*a,sparsha,4,TCS07 TCS16KaliWang,yes
khan%d%arohi,khandarohi,4,TCS12,no
mudgara,mudgara,3,TCS04Initiation TCS04Mantras TCS04PrayerBook,no
dan%d%a,danda,3,TCS04Initiation TCS04Mantras TCS04PrayerBook,no
tis%t%ha,tishtha,3,TCS04Initiation TCS07,yes
hum%,hung,3,TCS04Initiation TCS12 TCS16KaliWang,yes
netra,netra,3,TCS04Initiation TCS07 TCS08PabongkaSadhana,no
a#tmako'ham%,atmakoham,3,TCS04Initiation TCS07,yes
cakra,chakra,3,TCS04Mantras TCS04PrayerBook TCS07,yes
a#dars*e,adarshe,3,TCS07 TCS08PabongkaSadhana,yes
vi#ni,vini,3,TCS07 TCS08PabongkaSadhana,no
rase,rase,3,TCS07 TCS08PabongkaSadhana,no
spars*e,sparshe,3,TCS07 TCS08PabongkaSadhana,yes
dharme,dharme,3,TCS07 TCS08PabongkaSadhana,no
d%a#kini#,dakini,3,TCS07 TCS08PabongkaSadhana,no
pravara,pravara,3,TCS12,no
satka#ram%,satkaram,3,TCS12,no
va#k,vak,3,TCS16KaliWang,no
a#ves*aya,aveshaya,3,TCS16KaliWang,yes
pus%t%im%kara,pushtinkara,3,TCS16KaliWang,yes
mu:,muh,2,TCS04Initiation TCS12,yes
khad%ga,khadga,2,TCS04Initiation TCS04Mantras,no
svadana,svadana,2,TCS04Initiation TCS07,no
gr%hn%a,girhna,2,TCS04Initiation,yes
gr%hn%a#paya,girhnapaya,2,TCS04Initiation,yes
tvam,tvam,2,TCS04Initiation,no
abhis%in~ca#mi,abhishinchami,2,TCS04Initiation TCS07,yes
samayas,samayas,2,TCS04Initiation TCS08PabongkaSadhana,no
na#ma,nama,2,TCS04Initiation TCS07,no
om,om,2,TCS04Initiation TCS16KaliWang,no
anura#gana,anuragana,2,TCS04Initiation,no
a,ah,2,TCS04Initiation TCS04Mantras,yes
maha#sukha,mahasukha,2,TCS04Initiation TCS07,no
suddha#:,shuddhah,2,TCS04Initiation,yes
suddho'ham,shuddhohang,2,TCS04Initiation,yes
arapacana,arapachana,2,TCS04Mantras TCS04PrayerBook,yes
dhi#:,dhi,2,TCS04Mantras TCS04PrayerBook,yes
gan%a,gana,2,TCS04Mantras TCS04PrayerBook,no
maha#k#ala,mahakala,2,TCS04Mantras TCS04PrayerBook,no
naivedeya#,naivedya,2,TCS04Mantras TCS04PrayerBook,yes
h'um%,hung,2,TCS04Mantras TCS04PrayerBook,yes
jvala,jvala,2,TCS04Mantras,no
man%d%ala,mandala,2,TCS07,no
dharma,dharma,2,TCS07 TCS08PabongkaSadhana,no
sapariva#ra,sapariwara,2,TCS07 TCS08PabongkaSadhana,yes
vajra#sane,vajrasane,2,TCS07 TCS08PabongkaSadhana,no
ajite,ajite,2,TCS07 TCS08PabongkaSadhana,no
'para#jite,aparajite,2,TCS07 TCS08PabongkaSadhana,yes
vas*am%kari,vashamkari,2,TCS07 TCS08PabongkaSadhana,yes
bhra#man%i,bhramani,2,TCS07 TCS08PabongkaSadhana,no
s*os%an%i,shoshani,2,TCS07 TCS08PabongkaSadhana,yes
ros%an%i,roshani,2,TCS07 TCS08PabongkaSadhana,yes
krodhe,khrodhe,2,TCS07 TCS08PabongkaSadhana,yes
kara#lini,karalini,2,TCS07 TCS08PabongkaSadhana,no
namas,namas,2,TCS07 TCS08PabongkaSadhana,no
tra#sani,trasani,2,TCS07 TCS08PabongkaSadhana,no
ma#ran%i,marani,2,TCS07 TCS08PabongkaSadhana,no
prabhedani#,prabhedani,2,TCS07 TCS08PabongkaSadhana,no
para#jaye,parajaye,2,TCS07 TCS08PabongkaSadhana,no
vijaye,vijaye,2,TCS07 TCS08PabongkaSadhana,no
jambhani,jambhani,2,TCS07 TCS08PabongkaSadhana,no
stambhani,stambhani,2,TCS07 TCS08PabongkaSadhana,no
mohani,mohani,2,TCS07 TCS08PabongkaSadhana,no
dharmapa#la,dharmapala,2,TCS07,no
sama#ja:,samajah,2,TCS12 TCS16KaliWang,yes
ka#li#devi#,kalidevi,2,TCS16KaliWang,no
s*a#ntim%kara,shantinkara,2,TCS16KaliWang,yes
a#kars%aya,akarshaya,2,TCS16KaliWang,yes
vas*am%kara,vashankara,2,TCS16KaliWang,yes
th%a,tha,2,TCS16KaliWang,no
a#yudevi,ayudevi,2,TCS16KaliWang,no
siddhi,siddhi,2,TCS16KaliWang,no
raks%a,raksha,2,TCS16KaliWang,yes
maha#tpte,mahatapte,1,TCS04Initiation,yes
t%ha,ta,1,TCS04Initiation,yes
atmakoham%,atmakoham,1,TCS04Initiation,yes
a#tmakoham%,atmakoham,1,TCS04Initiation,yes
sumbha,sumbha,1,TCS04Initiation,no
nisumbha,nisumbha,1,TCS04Initiation,no
a#naya,anaya,1,TCS04Initiation,no
bhagavan,bhagavan,1,TCS04Initiation,no
udgha#t%a,udhata,1,TCS04Initiation,yes
praves*aya,praveshaya,1,TCS04Initiation,yes
jam%bi#ra,khambira,1,TCS04Initiation,yes
maha#rata,maharata,1,TCS04Initiation,no
sudr%d%ha,sudirdha,1,TCS04Initiation,yes
sutos%o,sutosho,1,TCS04Initiation,yes
susukho,susukho,1,TCS04Initiation,no
vajrasattva,vajrasattva,1,TCS04Initiation,no
adya,adya,1,TCS04Initiation,no
siddhya,siddhya,1,TCS04Initiation,no
ma#m%,mam,1,TCS04Initiation,no
t%ha,tha,1,TCS04Initiation,no
pratigr%hn%as,pratigirhnas,1,TCS04Initiation,yes
imam,imam,1,TCS04Initiation,no
maha#ba#la,mahabala,1,TCS04Initiation,no
he,he,1,TCS04Initiation,no
pas*ya,pashya,1,TCS04Initiation,yes
suratas,suratas,1,TCS04Initiation,no
a,a,1,TCS04Initiation,no
ham%,ham,1,TCS04Initiation,no
adhipati,adhipati,1,TCS04Initiation,no
sattvas,sattvas,1,TCS04Initiation,no
abhishin~ca#mi,abhishinchami,1,TCS04Initiation,yes
apahara,apahara,1,TCS04Initiation,no
pat%alam%,patalam,1,TCS04Initiation,no
anura#gaya#mi,anuragayami,1,TCS04Initiation,no
hetu,hetu,1,TCS04Initiation,no
mam,mam,1,TCS04Initiation,no
bha#s%aram%,bhasharam,1,TCS04Initiation,yes
maha#samaya,mahasamaya,1,TCS04Initiation,no
hana,hana,1,TCS04Initiation,no
bhaja,bhaja,1,TCS04Initiation,no
moks%a,moksha,1,TCS04Initiation,yes
maha#,maha,1,TCS04Mantras,no
sukha,sukha,1,TCS04Mantras,no
vaisravan%a,vaishravana,1,TCS04Mantras,yes
veta#li#,vetali,1,TCS04Mantras,no
jinajik,jinajik,1,TCS04Mantras,no
ratnadhr%k,ratnadhirk,1,TCS04Mantras,yes
a#rolika,arolika,1,TCS04Mantras,no
prajn~a#dhr%k,prajnyadhirk,1,TCS04Mantras,yes
mudgaradhr%k,mudgaradhirk,1,TCS04Mantras,yes
dan%d%adhr%k,dandadhirk,1,TCS04Mantras,yes
padmadhr%k,padmadhirk,1,TCS04Mantras,yes
moharati,moharati,1,TCS04Mantras,no
dves%arati,dvesharati,1,TCS04Mantras,yes
